agrarian_region_id,agrarian_region,orange,tangerine,lemon,other_citrus
Entre Douro e Minho,1,160,160,160,160
Trás-os-Montes,2,160,160,160,160
Beira Litoral,3,160,160,160,160
Beira Interior,4,160,160,160,160
Ribatejo e Oeste,5,160,160,160,160
Alentejo,6,160,160,160,160
Algarve,7,160,160,160,160
