agrarian_region_id,agrarian_region,potato
Entre Douro e Minho,1,130
Trás-os-Montes,2,130
Beira Litoral,3,130
Beira Interior,4,130
Ribatejo e Oeste,5,130
Alentejo,6,130
Algarve,7,130
