agrarian_region_id,agrarian_region,other_industry,sunflower
Entre Douro e Minho,1,180,100
Trás-os-Montes,2,180,100
Beira Litoral,3,180,100
Beira Interior,4,180,100
Ribatejo e Oeste,5,180,100
Alentejo,6,180,100
Algarve,7,180,100
