"Muni_ID","ID","Muni","cereals","industry","potato","pulses","pastures","total_municipality"
1601,"1111601","Arcos de Valdevez",22635.31,0,737.13,126.56,136500.67,159999.67
1602,"1111602","Caminha",7592.87,0,166.45,18.74,19872.67,27650.73
1603,"1111603","Melgaço",4523.15,0,237.78,18.61,92714.67,97494.21
1604,"1111604","Monção",19256.68,0,499.35,78.3,47644,67478.33
1605,"1111605","Paredes de Coura",8783.68,0,570.68,26.06,47304.67,56685.09
1606,"1111606","Ponte da Barca",10127.09,0,451.79,74.58,25915.33,36568.79
1607,"1111607","Ponte de Lima",61186.62,0,1331.6,224.99,33443.33,96186.54
1608,"1111608","Valença",15181.95,0,214.01,15.02,16637.33,32048.31
1609,"1111609","Viana do Castelo",36781.07,0,1236.48,63.66,31242.67,69323.88
1610,"1111610","Vila Nova de Cerveira",5580.16,0,95.11,18.61,9480.67,15174.55
301,"1120301","Amares",16890.96,0,47.56,30.29,6813.33,23782.14
302,"1120302","Barcelos",33812.96,0,879.8,56.47,5078.67,39827.9
303,"1120303","Braga",42311.17,0,546.91,15.02,4724.67,47597.77
306,"1120306","Esposende",10475.11,0,451.79,18.61,1205.33,12150.84
310,"1120310","Terras de Bouro",9478.67,0,71.34,48.52,58077.33,67675.86
313,"1120313","Vila Verde",45351.11,0,856.03,146.07,42848.67,89201.88
307,"1130307","Fafe",30102.86,0,737.13,141.45,32044.67,63026.11
308,"1130308","Guimarães",43922.82,0,546.91,44.8,5061.33,49575.86
309,"1130309","Póvoa de Lanhoso",18784.62,0,166.45,48.52,9626,28625.59
1314,"1131314","Santo Tirso",17331.1,0,784.69,18.61,5811.33,23945.73
1318,"1131318","Trofa",6128.13,0,332.9,3.72,1538,8002.75
311,"1130311","Vieira do Minho",12022,0,285.34,74.45,38051.33,50433.12
312,"1130312","Vila Nova de Famalicão",26996,0,332.9,34.39,4160,31523.29
314,"1130314","Vizela",5969.98,0,0,3.85,121.33,6095.16
107,"1140107","Espinho",836.37,0,23.78,3.72,4.67,868.54
1304,"1141304","Gondomar",11836.05,0,1117.59,22.46,1038,14014.1
1306,"1141306","Maia",7123.6,0,1141.37,3.72,1788.67,10057.36
1308,"1141308","Matosinhos",2970.57,0,404.23,0,2868,6242.8
1312,"1141312","Porto",230.72,0,0,0,328,558.72
1313,"1141313","Póvoa de Varzim",3749.26,0,285.34,11.17,425.33,4471.1
1315,"1141315","Valongo",8965.64,0,546.91,3.72,188,9704.27
1316,"1141316","Vila do Conde",7037.08,0,642.02,3.72,408,8090.82
1317,"1141317","Vila Nova de Gaia",11480.33,0,261.56,37.61,1099.33,12878.83
1301,"1151301","Amarante",46264.55,0,332.9,301.64,32294,79193.09
1302,"1151302","Baião",18993.5,0,118.89,256.85,25122.67,44491.91
304,"1150304","Cabeceiras de Basto",20105.74,0,309.12,48.52,42433.33,62896.71
106,"1150106","Castelo de Paiva",13090.59,0,71.34,100.63,1719.33,14981.89
305,"1150305","Celorico de Basto",32381.15,0,166.45,197.41,6454.67,39199.68
1804,"1151804","Cinfães",23083.69,0,404.23,63.28,17111.33,40662.53
1303,"1151303","Felgueiras",30110.75,0,451.79,55.96,991.33,31609.83
1305,"1151305","Lousada",22701.36,0,261.56,29.91,449.33,23442.16
1307,"1151307","Marco de Canaveses",27228.86,0,142.67,249.53,6202,33823.06
1705,"1151705","Mondim de Basto",14278.21,0,0,104.23,27105.33,41487.77
1309,"1151309","Paços de Ferreira",9848.55,0,261.56,26.06,2679.33,12815.5
1310,"1151310","Paredes",24362.02,0,998.7,33.63,1005.33,26399.68
1311,"1151311","Penafiel",42967.27,0,451.79,22.46,1379.33,44820.85
1813,"1151813","Resende",9958.51,0,618.24,22.33,6631.33,17230.41
1709,"1151709","Ribeira de Pena",15040.29,0,47.56,33.5,39850,54971.35
104,"1160104","Arouca",20924.32,0,190.23,18.61,23102.67,44235.83
113,"1160113","Oliveira de Azeméis",10399.29,0,47.56,7.57,501.33,10955.75
109,"1160109","Santa Maria da Feira",18553.14,0,404.23,55.96,431.33,19444.66
116,"1160116","São João da Madeira",0,0,0,0,0,0
119,"1160119","Vale de Cambra",13210.24,0,0,52.11,6632,19894.35
1701,"1171701","Alijó",1099.85,0,205.83,11.63,4362.67,5679.98
1801,"1171801","Armamar",134.81,0,434.54,5.82,374.67,949.84
403,"1170403","Carrazeda de Ansiães",3345.07,0,1280.74,17.71,3528.67,8172.19
404,"1170404","Freixo de Espada à Cinta",1926.18,0,114.35,5.82,7625.33,9671.68
1805,"1171805","Lamego",978.51,0,457.41,17.45,7684.67,9138.04
1704,"1171704","Mesão Frio",0,0,0,0,18.67,18.67
1807,"1171807","Moimenta da Beira",4297.04,0,1120.64,24.11,5284.67,10726.46
1812,"1171812","Penedono",3084.76,0,526.02,5.82,4909.33,8525.93
1708,"1171708","Peso da Régua",77.31,0,22.87,5.82,214.67,320.67
1710,"1171710","Sabrosa",1279.18,0,228.7,11.9,7340,8859.78
1711,"1171711","Santa Marta de Penaguião",38.65,0,0,0,2678.67,2717.32
1815,"1171815","São João da Pesqueira",1483.91,0,320.18,0,4251.33,6055.42
1818,"1171818","Sernancelhe",5024.31,0,1646.66,65.14,10535.33,17271.44
1819,"1171819","Tabuaço",1325.67,0,1097.77,41.3,862.67,3327.41
1820,"1171820","Tarouca",1289.69,0,320.18,11.63,1616,3237.5
409,"1170409","Torre de Moncorvo",3799.03,0,388.8,23.53,16226.67,20438.03
410,"1170410","Vila Flor",1830.06,0,137.22,5.82,6106,8079.1
914,"1170914","Vila Nova de Foz Côa",778.19,0,22.87,6.08,6269.33,7076.47
1714,"1171714","Vila Real",7189.87,0,1738.14,111.05,38266,47305.06
401,"1180401","Alfândega da Fé",462.01,0,22.87,6.08,15220,15710.96
1702,"1181702","Boticas",27595.75,0,2675.83,0,66602.67,96874.25
402,"1180402","Bragança",49742.11,0,3018.88,42.66,63988.67,116792.32
1703,"1181703","Chaves",91664.38,0,12464.31,82.54,32745.33,136956.56
405,"1180405","Macedo de Cavaleiros",18454.76,0,594.63,66.78,31486.67,50602.84
406,"1180406","Miranda do Douro",33653.19,0,1189.26,152.6,41526.67,76521.72
407,"1180407","Mirandela",15979.25,0,663.24,84.69,12128,28855.18
408,"1180408","Mogadouro",26550.06,0,663.24,354.71,30892.67,58460.68
1706,"1181706","Montalegre",52658.72,0,6106.37,11.63,293833.33,352610.05
1707,"1181707","Murça",1530.04,0,526.02,40.72,3261.33,5358.11
1712,"1181712","Valpaços",27919.18,0,4848.5,70.91,14187.33,47025.92
1713,"1181713","Vila Pouca de Aguiar",16212.46,0,2881.66,40.72,53790,72924.84
411,"1180411","Vimioso",17742.14,0,1052.03,109.65,22112,41015.82
412,"1180412","Vinhais",31197.81,0,2149.81,11.9,32470,65829.52
101,"1610101","Águeda",47948.3,0,824.78,37.25,743.33,49553.66
102,"1610102","Albergaria-a-Velha",49335.8,0,602.73,31.78,1577.33,51547.64
103,"1610103","Anadia",26865.99,167.61,2981.91,48.8,706,30770.31
105,"1610105","Aveiro",53083.16,0,1078.56,105.66,3199.33,57466.71
108,"1610108","Estarreja",37287.12,0,63.44,21.46,4560.67,41932.69
110,"1610110","Ílhavo",22223.94,0,983.39,10.52,130,23347.85
111,"1610111","Mealhada",16303.48,0,697.89,15.99,349.33,17366.69
112,"1610112","Murtosa",16521.5,0,0,5.26,850.67,17377.43
114,"1610114","Oliveira do Bairro",27256.98,0,1713.01,21.26,668.67,29659.92
115,"1610115","Ovar",17779.41,0,31.72,5.26,528.67,18345.06
117,"1610117","Sever do Vouga",16778.31,0,158.61,26.31,4296,21259.23
118,"1610118","Vagos",38886.8,0,3552.91,74.3,70,42584.01
602,"1620602","Cantanhede",47532.6,251.42,2823.29,181.79,1075.33,51864.43
603,"1620603","Coimbra",144519.5,0,1332.34,98.22,2024.67,147974.73
604,"1620604","Condeixa-a-Nova",20797.54,0,348.95,96.97,2964,24207.46
605,"1620605","Figueira da Foz",154209.11,0,317.22,101.64,2261.33,156889.3
608,"1620608","Mira",10901,0,1713.01,31.78,135.33,12781.12
610,"1620610","Montemor-o-Velho",248047.27,52.18,1395.79,117.42,6836.67,256449.33
613,"1620613","Penacova",10751.65,5.14,666.17,75.1,974.67,12472.73
615,"1620615","Soure",123735.43,83.81,285.5,113.38,4562,128780.12
1004,"1631004","Batalha",6450.5,0,253.78,43.53,321.33,7069.14
1009,"1631009","Leiria",73582.46,10.28,602.73,224.72,4348.67,78768.86
1010,"1631010","Marinha Grande",2896.36,0,31.72,10.73,135.33,3074.14
1015,"1631015","Pombal",72571.11,130.85,697.89,411.19,3667.33,77478.37
