"Muni_ID","ID","Muni","extensive_pasture","intensive_pasture","total"
1601,"1111601","Arcos de Valdevez",92880.67,43620,136500.67
1602,"1111602","Caminha",16272.67,3600,19872.67
1603,"1111603","Melgaço",87224.67,5490,92714.67
1604,"1111604","Monção",24934,22710,47644
1605,"1111605","Paredes de Coura",15054.67,32250,47304.67
1606,"1111606","Ponte da Barca",16375.33,9540,25915.33
1607,"1111607","Ponte de Lima",19553.33,13890,33443.33
1608,"1111608","Valença",9137.33,7500,16637.33
1609,"1111609","Viana do Castelo",22992.67,8250,31242.67
1610,"1111610","Vila Nova de Cerveira",4890.67,4590,9480.67
301,"1120301","Amares",933.33,5880,6813.33
302,"1120302","Barcelos",578.67,4500,5078.67
303,"1120303","Braga",1124.67,3600,4724.67
306,"1120306","Esposende",65.33,1140,1205.33
310,"1120310","Terras de Bouro",33777.33,24300,58077.33
313,"1120313","Vila Verde",5198.67,37650,42848.67
307,"1130307","Fafe",3154.67,28890,32044.67
308,"1130308","Guimarães",1731.33,3330,5061.33
309,"1130309","Póvoa de Lanhoso",1946,7680,9626
1314,"1131314","Santo Tirso",471.33,5340,5811.33
1318,"1131318","Trofa",98,1440,1538
311,"1130311","Vieira do Minho",28751.33,9300,38051.33
312,"1130312","Vila Nova de Famalicão",560,3600,4160
314,"1130314","Vizela",121.33,0,121.33
107,"1140107","Espinho",4.67,0,4.67
1304,"1141304","Gondomar",378,660,1038
1306,"1141306","Maia",228.67,1560,1788.67
1308,"1141308","Matosinhos",168,2700,2868
1312,"1141312","Porto",28,300,328
1313,"1141313","Póvoa de Varzim",275.33,150,425.33
1315,"1141315","Valongo",98,90,188
1316,"1141316","Vila do Conde",168,240,408
1317,"1141317","Vila Nova de Gaia",499.33,600,1099.33
1301,"1151301","Amarante",25214,7080,32294
1302,"1151302","Baião",11652.67,13470,25122.67
304,"1150304","Cabeceiras de Basto",20953.33,21480,42433.33
106,"1150106","Castelo de Paiva",429.33,1290,1719.33
305,"1150305","Celorico de Basto",1054.67,5400,6454.67
1804,"1151804","Cinfães",16571.33,540,17111.33
1303,"1151303","Felgueiras",331.33,660,991.33
1305,"1151305","Lousada",359.33,90,449.33
1307,"1151307","Marco de Canaveses",3262,2940,6202
1705,"1151705","Mondim de Basto",24495.33,2610,27105.33
1309,"1151309","Paços de Ferreira",219.33,2460,2679.33
1310,"1151310","Paredes",345.33,660,1005.33
1311,"1151311","Penafiel",989.33,390,1379.33
1813,"1151813","Resende",5791.33,840,6631.33
1709,"1151709","Ribeira de Pena",35560,4290,39850
104,"1160104","Arouca",15152.67,7950,23102.67
113,"1160113","Oliveira de Azeméis",261.33,240,501.33
109,"1160109","Santa Maria da Feira",191.33,240,431.33
116,"1160116","São João da Madeira",0,0,0
119,"1160119","Vale de Cambra",6482,150,6632
1701,"1171701","Alijó",4302.67,60,4362.67
1801,"1171801","Armamar",284.67,90,374.67
403,"1170403","Carrazeda de Ansiães",3378.67,150,3528.67
404,"1170404","Freixo de Espada à Cinta",7625.33,0,7625.33
1805,"1171805","Lamego",7144.67,540,7684.67
1704,"1171704","Mesão Frio",18.67,0,18.67
1807,"1171807","Moimenta da Beira",5044.67,240,5284.67
1812,"1171812","Penedono",4909.33,0,4909.33
1708,"1171708","Peso da Régua",214.67,0,214.67
1710,"1171710","Sabrosa",7280,60,7340
1711,"1171711","Santa Marta de Penaguião",2678.67,0,2678.67
1815,"1171815","São João da Pesqueira",4251.33,0,4251.33
1818,"1171818","Sernancelhe",10145.33,390,10535.33
1819,"1171819","Tabuaço",802.67,60,862.67
1820,"1171820","Tarouca",1316,300,1616
409,"1170409","Torre de Moncorvo",15026.67,1200,16226.67
410,"1170410","Vila Flor",5866,240,6106
914,"1170914","Vila Nova de Foz Côa",5819.33,450,6269.33
1714,"1171714","Vila Real",33166,5100,38266
401,"1180401","Alfândega da Fé",7840,7380,15220
1702,"1181702","Boticas",66602.67,0,66602.67
402,"1180402","Bragança",54898.67,9090,63988.67
1703,"1181703","Chaves",28065.33,4680,32745.33
405,"1180405","Macedo de Cavaleiros",21046.67,10440,31486.67
406,"1180406","Miranda do Douro",39666.67,1860,41526.67
407,"1180407","Mirandela",10388,1740,12128
408,"1180408","Mogadouro",29152.67,1740,30892.67
1706,"1181706","Montalegre",292483.33,1350,293833.33
1707,"1181707","Murça",3201.33,60,3261.33
1712,"1181712","Valpaços",14037.33,150,14187.33
1713,"1181713","Vila Pouca de Aguiar",48510,5280,53790
411,"1180411","Vimioso",22022,90,22112
412,"1180412","Vinhais",28840,3630,32470
101,"1610101","Águeda",653.33,90,743.33
102,"1610102","Albergaria-a-Velha",1367.33,210,1577.33
103,"1610103","Anadia",616,90,706
105,"1610105","Aveiro",1339.33,1860,3199.33
108,"1610108","Estarreja",3210.67,1350,4560.67
110,"1610110","Ílhavo",70,60,130
111,"1610111","Mealhada",289.33,60,349.33
112,"1610112","Murtosa",760.67,90,850.67
114,"1610114","Oliveira do Bairro",578.67,90,668.67
115,"1610115","Ovar",228.67,300,528.67
117,"1610117","Sever do Vouga",756,3540,4296
118,"1610118","Vagos",70,0,70
602,"1620602","Cantanhede",625.33,450,1075.33
603,"1620603","Coimbra",1124.67,900,2024.67
604,"1620604","Condeixa-a-Nova",1764,1200,2964
605,"1620605","Figueira da Foz",1661.33,600,2261.33
608,"1620608","Mira",135.33,0,135.33
610,"1620610","Montemor-o-Velho",3896.67,2940,6836.67
613,"1620613","Penacova",74.67,900,974.67
615,"1620615","Soure",3752,810,4562
1004,"1631004","Batalha",261.33,60,321.33
1009,"1631009","Leiria",1558.67,2790,4348.67
1010,"1631010","Marinha Grande",135.33,0,135.33
1015,"1631015","Pombal",1507.33,2160,3667.33
1016,"1631016","Porto de Mós",11218.67,1410,12628.67
1002,"1641002","Alvaiázere",1148,600,1748
1003,"1641003","Ansião",1381.33,5640,7021.33
601,"1640601","Arganil",2487.33,4290,6777.33
