"","GW_ID","drainage"
"1",1,17852506852.386
"2",2,958494250.501
"3",3,85515803755.112
"4",4,420780620.425
"5",5,4368784113.567
"6",6,10511605842.923
"7",7,20147377846.283
"8",8,888065250.922
"9",9,1159491978.026
"10",10,2761035.449
"11",11,1872891099.995
"12",12,44823631502.193
"13",13,42332543469.932
"14",14,1503127417.821
"15",15,1108298988.882
"16",16,1175272182.971
"17",17,7070612666.684
"18",18,4079201309.252
"19",19,918934197.985
"20",20,5728702070.939
"21",21,15308976023.462
"22",22,7528052080.543
"23",23,13960520570.208
"24",24,6349419047.463
"25",25,3814434608.05
"26",26,1646177472.093
"27",27,20284647077.928
"28",28,208280210.637
"29",29,44376578807.991
"30",30,782691468.629
"31",31,66365893.4
"32",32,15636756342.8
"33",33,14017543535.042
"34",34,49204845735.612
"35",35,11621859853.108
"36",36,85045287.329
"37",37,1758033176.289
"38",38,13951399264.743
"39",39,48672000779.461
"40",40,79626748049.939
"41",41,18924142535.688
"42",42,38166950692.542
"43",43,29732566599.781
"44",44,62629351634.791
"45",45,242019593643.82
"46",46,84054701425.829
"47",47,798652188.198
"48",48,1491430362.224
"49",49,59773592.448
"50",50,277743039.164
"51",51,637692860.464
"52",52,2126145090.422
"53",53,13306840695.14
"54",54,24766086106.367
"55",55,20572004065.54
"56",56,610140907.559
"57",57,666229070.554
"58",58,2226063736.621
"59",59,17417224954.894
"60",60,1599214629.451
"61",61,4250105391.461
"62",62,1678513267.361
"63",63,1816955588.912
"64",64,4573597409.736
"65",65,19056273152.839
"66",66,6490595668.893
"67",67,1411418239.892
"68",68,1520066045.525
"69",69,381049906.01
"70",70,2140120916.498
"71",71,228020252.613
"72",72,949294570.983
"73",73,478344987.348
"74",74,4209930408.83
"75",75,3215134295.879
"76",76,1221212821.662
"77",77,2406019299.228
"78",78,417405469.849
"79",79,22248957.444
"80",80,552636912.698
"81",81,80992789.827
"82",82,1905837634.671
"83",83,824813487.707
"84",84,1798238997.936
"85",85,217990972140.986
"86",86,319491827.179
"87",87,79611223.331
"88",88,2234005395.078
"89",89,2389348843.97
"90",90,7998544614.795
"91",91,6105099416.716
"92",92,605304188.505
"93",93,9928458808.28
