"","GW_ID","drainage"
"1",1,29878779115.861
"2",2,3829961084.794
"3",3,149165466476.891
"4",4,734742192.821
"5",5,9626475690.95
"6",6,11190550666.21
"7",7,32483499848.643
"8",8,2198716878.184
"9",9,3014205345.307
"10",10,7747866.829
"11",11,5743345449.845
"12",12,82512525298.853
"13",13,89626810098.55
"14",14,2356763185.366
"15",15,3196547852.576
"16",16,2456321220.348
"17",17,10124452717.4
"18",18,6140893985.575
"19",19,2163841133.133
"20",20,12283437626.073
"21",21,23427432035.069
"22",22,9774941416.218
"23",23,19194755024.134
"24",24,9320732768.36
"25",25,4264591423.3
"26",26,3184998810.362
"27",27,27800774160.045
"28",28,465392383.652
"29",29,77550424002.77
"30",30,1211731185.97
"31",31,112320244.705
"32",32,29559762119.349
"33",33,26932477179.046
"34",34,85538522953.191
"35",35,20138804039.343
"36",36,244852452.414
"37",37,2334693186.294
"38",38,22978382281.538
"39",39,83712169187.681
"40",40,135010447766.865
"41",41,40653058133.097
"42",42,55489634597.299
"43",43,63694707824.147
"44",44,115384036629.414
"45",45,519999776128.461
"46",46,163832834576.68
"47",47,1490518915.551
"48",48,4253330776.224
"49",49,152432678.031
"50",50,363633056.731
"51",51,1478070886.956
"52",52,5342769107.183
"53",53,47241450702.152
"54",54,72254661327.776
"55",55,27640665012.292
"56",56,731536670.387
"57",57,1166329375.389
"58",58,2269671849.85
"59",59,32341068616.34
"60",60,2714496735.158
"61",61,8522122678.516
"62",62,1327307553.179
"63",63,4310751381.515
"64",64,7506616669.885
"65",65,37621819297.626
"66",66,23965813692.323
"67",67,4768390186.123
"68",68,3068132940.417
"69",69,547848193.449
"70",70,6012015123.112
"71",71,751749291.763
"72",72,1493748073.596
"73",73,791330469.47
"74",74,6693511874.501
"75",75,5400063281.828
"76",76,2882299658.962
"77",77,2276628567.754
"78",78,749543467.838
"79",79,28517929.878
"80",80,1523487565.976
"81",81,161987441.792
"82",82,2980229514.092
"83",83,1987781785.127
"84",84,4336727331.186
"85",85,364364906875.951
"86",86,724587515.454
"87",87,324063292.176
"88",88,3093779880.871
"89",89,6050164340.81
"90",90,14155249732.156
"91",91,11223691842.158
"92",92,1373253890.025
"93",93,24077637557.05
