agrarian_region_id,agrarian_region,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986
Entre Douro e Minho,1,4792,6066,4619,5481,4330,4919,4060,5082,5632,5339,4646,4060,5157,4990,5071,4190,3995,6698,3954,5656,2560,2053,6934,4840,5104,3175,4324,6789,7195,6995,2102,5816,5396
Trás-os-Montes,2,2499,3032,2791,3464,2978,3247,2933,2872,3573,2900,2894,2880,3836,3848,3459,3661,2949,4055,3112,3540,1728,2265,4216,2834,2217,1903,2846,3852,4550,2676,1526,3996,3008
Beira Litoral,3,2770,4432,3374,4852,3660,4494,5029,4635,5148,4214,3448,3567,5583,5730,4863,4599,4262,5446,4285,4960,1188,3297,5520,3204,3849,2008,3099,4862,5696,2865,1174,5008,3475
Beira Interior,4,1650,1996,2449,2255,2135,2142,2214,1834,2196,1772,1679,1084,2920,2785,2711,2766,2468,2865,2890,2934,942,1432,2971,1938,1535,1178,2045,2859,3056,1952,721,3200,2113
Ribatejo e Oeste,5,8747,9275,7827,8829,7464,6808,8581,5766,8430,6985,6251,7147,7229,6786,7507,7015,6762,5464,6287,7066,3681,6673,7299,6652,5038,3635,6050,6324,7464,4965,2916,8656,5458
Alentejo,6,6344,5587,6069,6711,7117,6586,5673,5662,7012,4922,4979,5774,6057,4383,5296,5300,3951,4602,3552,4178,2476,5101,6761,3445,3780,3228,3359,3129,4743,3225,2164,4294,3598
Algarve,7,3310,3823,3718,3842,3468,3580,3456,3535,4067,4434,4121,4349,4854,4142,4324,5050,6044,6083,5996,6314,3436,6282,5061,5051,4608,4090,4730,4898,5031,4435,2557,6385,4947
