Muni_ID,ID,Muni,fertiliser,m_app99_nha,sludge,graz_tot,storage99_nha,total_sum
1601,1111601,Arcos de Valdevez,0.246,0.116197901049475,0,0.567764317841079,0.089555168,1.01951738689055
1602,1111602,Caminha,0.001,0.684017817371938,0.0093364,0.224066815144766,0.481994,1.4004150325167
1603,1111603,Melgaço,0.082,0.0958005082592122,0.0007895,0.424371029224905,0.082477759,0.685438796484117
1604,1111604,Monção,0.353,0.193934379457917,0.0014793,0.633844507845934,0.152395006,1.33465319330385
1605,1111605,Paredes de Coura,0.625,0.319862731640357,0.0012649,0.440086936627774,0.186113974,1.57232854226813
1606,1111606,Ponte da Barca,0.113,0.103100890207715,0.0006138,0.261785979228487,0.118053956,0.596554625436202
1607,1111607,Ponte de Lima,0.635,0.525502236302646,0.0009438,0.382642564293701,0.320602895,1.86469149559635
1608,1111608,Valença,0.728,0.414501915708812,0.0045803,0.53220785440613,0.223420386,1.90271045611494
1609,1111609,Viana do Castelo,0.394,0.721632911392405,0.0072503,0.378016877637131,0.36776897,1.86866905902954
1610,1111610,Vila Nova de Cerveira,0.744,0.767383177570093,0.0184651,0.598151609553479,0.406116121,2.53411600812357
301,1120301,Amares,0.258,1.14643327067669,0,0.81671992481203,0.788821793,3.00997498848872
302,1120302,Barcelos,0.025,2.54901185124642,0.0073771,0.796360441356763,1.157899337,4.53564872960318
303,1120303,Braga,0.873,0.85189702970297,0.010899,0.840938613861386,0.510581492,3.08731613556436
306,1120306,Esposende,0.38,1.9429176201373,0.0107743,0.583588863463005,1.028304429,3.94558521260031
310,1120310,Terras de Bouro,0.175,0.0563149810964083,0.0002123,0.298754725897921,0.054515337,0.584797343994329
313,1120313,Vila Verde,1.025,0.421618398637138,0.0002291,1.11271039182283,0.29164733,2.85120522045997
307,1130307,Fafe,1.262,0.425760102629891,0.0023247,1.01599101988454,0.451960665,3.15803648751443
308,1130308,Guimarães,0.778,1.0068793292016,0.0178351,0.708842508202698,0.433794877,2.9453518144043
309,1130309,Póvoa de Lanhoso,1.195,0.455928315412186,0.0002919,0.972301075268817,0.25293709,2.876458380681
1314,1131314,Santo Tirso,0.472,1.01564661654135,0.0757744,0.520161654135339,0.511736024,2.59531869467669
