"Muni_ID","ID","Muni","Does","Other_caprine"
1601,"1111601","Arcos de Valdevez",11.06,40.84
1602,"1111602","Caminha",0,4.22
1603,"1111603","Melgaço",0,17.79
1604,"1111604","Monção",0,7.2
1605,"1111605","Paredes de Coura",0,8.24
1606,"1111606","Ponte da Barca",0,18.52
1607,"1111607","Ponte de Lima",0,42.09
1608,"1111608","Valença",0,6.1
1609,"1111609","Viana do Castelo",0,11.48
1610,"1111610","Vila Nova de Cerveira",0,7.35
301,"1120301","Amares",0,6.57
302,"1120302","Barcelos",0,13.14
303,"1120303","Braga",0,3.44
306,"1120306","Esposende",0,2.24
310,"1120310","Terras de Bouro",9.81,10.54
313,"1120313","Vila Verde",40.06,13.61
307,"1130307","Fafe",0,6.52
308,"1130308","Guimarães",0,2.19
309,"1130309","Póvoa de Lanhoso",0,6.26
1314,"1131314","Santo Tirso",0,3.76
1318,"1131318","Trofa",0,1.46
311,"1130311","Vieira do Minho",0,6.83
312,"1130312","Vila Nova de Famalicão",5.95,3.65
314,"1130314","Vizela",0,0.1
107,"1140107","Espinho",0,0.05
1304,"1141304","Gondomar",0,1.36
1306,"1141306","Maia",0,1.04
1308,"1141308","Matosinhos",0,0.99
1312,"1141312","Porto",0,0.26
1313,"1141313","Póvoa de Varzim",21.12,2.24
1315,"1141315","Valongo",0,0.63
1316,"1141316","Vila do Conde",0,2.92
1317,"1141317","Vila Nova de Gaia",0,1.15
1301,"1151301","Amarante",0,24.1
1302,"1151302","Baião",0,19.14
304,"1150304","Cabeceiras de Basto",0,11.68
106,"1150106","Castelo de Paiva",0.16,7.35
305,"1150305","Celorico de Basto",0.37,12.94
1804,"1151804","Cinfães",0,31.4
1303,"1151303","Felgueiras",0,2.61
1305,"1151305","Lousada",0,1.25
1307,"1151307","Marco de Canaveses",1.93,5.95
1705,"1151705","Mondim de Basto",0,57.64
1309,"1151309","Paços de Ferreira",0,3.6
1310,"1151310","Paredes",0,3.65
1311,"1151311","Penafiel",0,3.39
1813,"1151813","Resende",0,1.77
1709,"1151709","Ribeira de Pena",0,52.99
104,"1160104","Arouca",0,27.23
113,"1160113","Oliveira de Azeméis",15.13,12.52
109,"1160109","Santa Maria da Feira",0.26,2.61
116,"1160116","São João da Madeira",0,0
119,"1160119","Vale de Cambra",0,26.97
1701,"1171701","Alijó",36.3,1.36
1801,"1171801","Armamar",5.01,0.21
403,"1170403","Carrazeda de Ansiães",19.04,2.66
404,"1170404","Freixo de Espada à Cinta",19.87,0.68
1805,"1171805","Lamego",4.75,3.08
1704,"1171704","Mesão Frio",0,0
1807,"1171807","Moimenta da Beira",14.81,7.82
1812,"1171812","Penedono",14.6,1.67
1708,"1171708","Peso da Régua",3.6,0.05
1710,"1171710","Sabrosa",1.56,2.14
1711,"1171711","Santa Marta de Penaguião",0,0.31
1815,"1171815","São João da Pesqueira",29.37,3.44
1818,"1171818","Sernancelhe",41.57,3.96
1819,"1171819","Tabuaço",0.26,0.42
1820,"1171820","Tarouca",15.54,2.97
409,"1170409","Torre de Moncorvo",46.63,2.97
410,"1170410","Vila Flor",38.02,3.08
914,"1170914","Vila Nova de Foz Côa",20.97,1.1
1714,"1171714","Vila Real",15.02,17.37
401,"1180401","Alfândega da Fé",43.03,5.63
1702,"1181702","Boticas",6.26,13.04
402,"1180402","Bragança",27.07,42.09
1703,"1181703","Chaves",6.68,15.86
405,"1180405","Macedo de Cavaleiros",73.23,34.06
406,"1180406","Miranda do Douro",2.61,7.41
407,"1180407","Mirandela",73.02,24.25
408,"1180408","Mogadouro",49.97,62.96
1706,"1181706","Montalegre",26.65,41.36
1707,"1181707","Murça",43.19,12.26
1712,"1181712","Valpaços",39.95,23.11
1713,"1181713","Vila Pouca de Aguiar",12,39.17
411,"1180411","Vimioso",45.22,16.74
412,"1180412","Vinhais",0.37,9.55
101,"1610101","Águeda",1.15,12.67
102,"1610102","Albergaria-a-Velha",6.42,2.66
103,"1610103","Anadia",1.93,9.02
105,"1610105","Aveiro",1.72,8.97
108,"1610108","Estarreja",6.36,7.67
110,"1610110","Ílhavo",0.16,2.71
111,"1610111","Mealhada",3.08,10.8
112,"1610112","Murtosa",0.05,1.88
114,"1610114","Oliveira do Bairro",0.63,2.61
115,"1610115","Ovar",0.99,2.03
117,"1610117","Sever do Vouga",0.21,15.18
118,"1610118","Vagos",3.08,4.43
602,"1620602","Cantanhede",11.48,17.63
603,"1620603","Coimbra",12.05,34.84
604,"1620604","Condeixa-a-Nova",49.66,25.98
605,"1620605","Figueira da Foz",6.31,4.43
608,"1620608","Mira",1.1,1.46
610,"1620610","Montemor-o-Velho",10.01,13.14
613,"1620613","Penacova",9.65,25.19
615,"1620615","Soure",53.2,15.07
1004,"1631004","Batalha",8.4,3.91
1009,"1631009","Leiria",27.33,12.52
1010,"1631010","Marinha Grande",0,0.21
1015,"1631015","Pombal",33.02,22.43
1016,"1631016","Porto de Mós",72.5,22.69
1002,"1641002","Alvaiázere",48.14,9.65
1003,"1641003","Ansião",55.5,12.1
601,"1640601","Arganil",25.25,32.65
1007,"1641007","Castanheira de Pêra",4.75,3.44
1008,"1641008","Figueiró dos Vinhos",0.99,5.84
606,"1640606","Góis",15.7,13.35
607,"1640607","Lousã",10.95,9.96
609,"1640609","Miranda do Corvo",13.56,7.62
611,"1640611","Oliveira do Hospital",34.69,14.19
612,"1640612","Pampilhosa da Serra",11.48,9.75
1013,"1641013","Pedrógão Grande",9.6,2.56
614,"1640614","Penela",31.97,6.15
616,"1640616","Tábua",33.28,14.66
617,"1640617","Vila Nova de Poiares",6.42,4.69
901,"1650901","Aguiar da Beira",1.98,7.41
1802,"1651802","Carregal do Sal",17.73,5.69
1803,"1651803","Castro Daire",67.91,36.51
1806,"1651806","Mangualde",21.18,6.31
1808,"1651808","Mortágua",1.46,6.21
1809,"1651809","Nelas",13.41,2.71
1810,"1651810","Oliveira de Frades",4.64,34.11
1811,"1651811","Penalva do Castelo",10.38,1.25
1814,"1651814","Santa Comba Dão",9.49,4.38
1816,"1651816","São Pedro do Sul",20.39,67.91
1817,"1651817","Sátão",12.88,11.32
1821,"1651821","Tondela",10.95,27.91
1822,"1651822","Vila Nova de Paiva",30.72,17.63
