GRID_NO,LATITUDE,LONGITUDE,evapo
56050,39.15714,-7.22498,1239.18
53047,38.34181,-7.88889,1202.03
50046,37.62934,-7.98829,1183.72
50048,37.73373,-7.43585,1291.44
64050,40.9138,-7.71331,1003.26
48042,37.05959,-8.91672,1043.49
48047,37.24609,-7.60206,1250.05
49045,37.35614,-8.20453,1160.44
63046,40.47278,-8.72827,948.16
58049,39.54522,-7.6276,1103.3
59049,39.76476,-7.68866,1103.3
61051,40.30744,-7.23876,1100.96
62052,40.57797,-7.01134,990.26
59043,39.36849,-9.29466,1098.27
54043,38.44315,-9.10193,1098.27
50045,37.57594,-8.26396,1160.44
52043,37.94411,-8.82499,1070.9
55046,38.72753,-8.28958,1236.51
56046,38.9468,-8.35152,1236.51
54047,38.56153,-7.94886,1236.51
51049,38.00519,-7.21578,1333.55
52046,38.06897,-8.10715,1202.03
68048,41.68079,-8.55779,873.26
68049,41.73555,-8.26502,900.66
66047,41.20738,-8.63534,904.78
66048,41.24409,-8.42349,904.78
65048,41.02557,-8.3573,904.78
64051,40.96597,-7.42345,973.47
66053,41.50709,-6.96476,903.18
67052,41.67549,-7.32038,903.18
68052,41.89466,-7.38399,919.37
47046,37.03539,-7.85014,1132.99
49044,37.30215,-8.47904,1088.23
50044,37.52175,-8.53927,1091.64
63049,40.64181,-7.93872,1049.06
58048,39.49263,-7.91118,1192.05
61050,40.25589,-7.52584,1103.3
61052,40.35814,-6.95128,990.26
56042,38.76616,-9.4058,1098.27
56043,38.79649,-9.20579,1098.27
53046,38.28861,-8.1674,1202.03
55051,38.98739,-6.88476,1374.66
56051,39.20767,-6.94238,1258.09
57049,39.32556,-7.56712,1239.18
53048,38.39419,-7.60999,1279.88
70049,42.17224,-8.4,879.62
67047,41.42004,-8.70265,904.78
65050,41.13288,-7.777,940.05
64047,40.74899,-8.57127,904.78
66054,41.55713,-6.67173,903.18
66055,41.60631,-6.37829,973.47
68051,41.84248,-7.67811,904
68054,41.99644,-6.79444,950.58
59046,39.60391,-8.54084,1125.98
60044,39.66527,-9.03981,1001.59
59048,39.71197,-7.97312,1103.3
63052,40.79769,-7.07196,990.26
59050,39.81673,-7.40379,1103.3
55044,38.62276,-8.84895,1098.27
52044,37.96057,-8.66138,1115.59
57046,39.16596,-8.41404,1098.27
52048,38.17416,-7.55141,1279.88
51050,38.05557,-6.93784,1370.76
57045,39.11112,-8.69555,1098.27
69050,42.00807,-8.03799,869.41
64054,41.1174,-6.55138,990.26
65053,41.28749,-6.90333,990.26
65054,41.33732,-6.61127,973.47
66052,41.4562,-7.25737,973.47
68055,42.04604,-6.49902,950.58
48046,37.18922,-7.87157,1181.04
50043,37.46551,-8.74132,1091.64
61046,40.04138,-8.67003,1001.59
62046,40.25648,-8.7264,1001.59
62051,40.52706,-7.29974,1003.26
63053,40.84796,-6.78222,990.26
58050,39.59698,-7.34363,1239.18
58051,39.64791,-7.05926,1258.09
59052,39.91816,-6.83288,1199.86
60052,40.13821,-6.8918,1199.86
58046,39.38499,-8.47714,1125.98
54046,38.50813,-8.22821,1236.51
50047,37.68193,-7.71225,1229.46
70048,42.11315,-8.68497,879.34
64049,40.86078,-8.00274,1028.99
65049,41.07965,-8.06737,971.21
64048,40.80692,-8.29174,966.51
64052,41.0173,-7.13317,990.26
65052,41.2368,-7.19497,990.26
66056,41.65463,-6.08444,973.47
47045,37.02611,-7.99694,1132.99
48043,37.11127,-8.72465,1043.49
48045,37.15727,-8.13669,1132.99
49048,37.51334,-7.37886,1241.36
63047,40.53369,-8.51446,904.78
60046,39.82271,-8.60513,1035.47
61045,39.97015,-8.86985,1001.59
60048,39.9312,-8.03565,1103.3
60049,39.9842,-7.75029,1103.3
61049,40.20352,-7.81251,1103.3
57044,39.05547,-8.97665,1098.27
58044,39.27408,-9.04147,1098.27
56044,38.84427,-8.89962,1098.27
56045,38.89218,-8.63218,1098.27
51045,37.79562,-8.32393,1169.47
54045,38.45392,-8.50718,1098.27
55050,38.93705,-7.16648,1374.66
56048,39.05361,-7.78903,1192.05
56049,39.10578,-7.50719,1239.18
57050,39.37711,-7.28402,1199.86
52049,38.22554,-7.27299,1322.36
52050,38.27611,-6.99421,1374.66
53049,38.44577,-7.33073,1374.66
54048,38.61411,-7.66912,1235.87
54049,38.66589,-7.38901,1374.66
