GRID_NO,LATITUDE,LONGITUDE,evapo
69047,41.85114,-8.82302,726.38
69048,41.89897,-8.62591,907.39
69049,41.95395,-8.33218,917.51
67048,41.4625,-8.49031,895.25
68050,41.78944,-7.97179,967.73
66049,41.29839,-8.13262,1063.3
63051,40.74657,-7.3613,1156.72
67054,41.77684,-6.73279,1108.98
48044,37.14413,-8.41347,1349.83
49043,37.24443,-8.74371,1309.63
62047,40.31503,-8.44923,1017.7
61047,40.09626,-8.38461,1116.51
59045,39.54864,-8.82408,1264.01
60047,39.87736,-8.3206,1317.84
59047,39.65835,-8.25719,1298.06
62049,40.42272,-7.87532,1125.94
63050,40.69461,-7.65022,1135.27
61053,40.40801,-6.66341,1260.96
60050,40.03637,-7.46453,1353.32
60051,40.08771,-7.17836,1353.32
58045,39.32994,-8.75951,1353.53
53044,38.17615,-8.68749,1279.02
55049,38.88589,-7.44783,1444.63
57048,39.27318,-7.84982,1396.63
51047,37.90201,-7.77059,1452.55
68047,41.64405,-8.76445,726.38
70050,42.22659,-8.10483,917.51
67049,41.51703,-8.1985,1001.91
64053,41.06778,-6.84248,1195.06
65051,41.18527,-7.4862,1063.43
65055,41.3863,-6.3188,1193.61
68053,41.94599,-7.08943,1108.98
47047,37.09893,-7.66692,1363.77
49046,37.40934,-7.92967,1440.86
49047,37.46174,-7.65444,1387.89
62048,40.36929,-8.16248,1116.51
60045,39.76334,-8.87971,1005.25
58047,39.43922,-8.19437,1388.39
62053,40.62804,-6.72253,1249.91
59051,39.86786,-7.11853,1426.42
57043,38.99872,-9.25663,1263.04
58043,39.2135,-9.27122,1263.04
57042,38.91009,-9.40945,1263.04
55045,38.67311,-8.56939,1377.06
51043,37.68541,-8.76837,1324.52
52045,38.01518,-8.38446,1311.72
56047,39.00061,-8.07047,1411.01
52047,38.12197,-7.82947,1393.85
50049,37.78472,-7.15909,1418.99
51046,37.84922,-8.04745,1452.55
51048,37.954,-7.49336,1452.55
67050,41.5707,-7.90623,967.73
65047,40.97132,-8.58028,997.87
66050,41.35185,-7.8413,1063.43
67051,41.62352,-7.61352,1148.11
66051,41.40445,-7.54955,1063.43
67053,41.72659,-7.0268,1108.98
67055,41.82622,-6.43836,1171.24
48048,37.29765,-7.32278,1330.77
49042,37.14111,-8.89825,1281.74
63048,40.58817,-8.2268,1061.08
64046,40.65119,-8.72655,1000.26
62045,40.18218,-8.87825,968.38
61048,40.1503,-8.09877,1116.51
62050,40.47531,-7.58773,1135.27
59044,39.47481,-9.07587,1249.47
57047,39.21998,-8.13213,1338.25
54044,38.40065,-8.72622,1279.02
55043,38.56054,-9.09596,1339.01
51044,37.74122,-8.60005,1229.43
53045,38.23461,-8.44554,1317.25
54050,38.71685,-7.10852,1423.94
55047,38.78113,-8.00938,1439.89
55048,38.83392,-7.72879,1434.83
56050,39.15714,-7.22498,1366.56
53047,38.34181,-7.88889,1416.8
50046,37.62934,-7.98829,1452.55
50048,37.73373,-7.43585,1418.99
64050,40.9138,-7.71331,1195.06
48042,37.05959,-8.91672,1281.74
48047,37.24609,-7.60206,1359.87
49045,37.35614,-8.20453,1364.48
63046,40.47278,-8.72827,968.38
58049,39.54522,-7.6276,1430.88
59049,39.76476,-7.68866,1353.32
61051,40.30744,-7.23876,1388.99
62052,40.57797,-7.01134,1249.91
59043,39.36849,-9.29466,1249.47
54043,38.44315,-9.10193,1323.69
50045,37.57594,-8.26396,1395.65
52043,37.94411,-8.82499,1229.43
55046,38.72753,-8.28958,1401.93
56046,38.9468,-8.35152,1362.57
54047,38.56153,-7.94886,1439.89
51049,38.00519,-7.21578,1457.99
52046,38.06897,-8.10715,1378.17
68048,41.68079,-8.55779,726.38
68049,41.73555,-8.26502,1001.91
66047,41.20738,-8.63534,1063.93
66048,41.24409,-8.42349,1063.93
65048,41.02557,-8.3573,997.87
64051,40.96597,-7.42345,1156.72
66053,41.50709,-6.96476,1108.67
67052,41.67549,-7.32038,1148.11
68052,41.89466,-7.38399,1061.59
47046,37.03539,-7.85014,1417.88
49044,37.30215,-8.47904,1309.63
50044,37.52175,-8.53927,1330.79
63049,40.64181,-7.93872,1125.94
58048,39.49263,-7.91118,1309.35
61050,40.25589,-7.52584,1353.32
61052,40.35814,-6.95128,1260.96
56042,38.76616,-9.4058,1263.04
56043,38.79649,-9.20579,1263.04
53046,38.28861,-8.1674,1354.51
55051,38.98739,-6.88476,1473.83
56051,39.20767,-6.94238,1395.15
57049,39.32556,-7.56712,1369.16
53048,38.39419,-7.60999,1454.71
70049,42.17224,-8.4,880.49
67047,41.42004,-8.70265,895.25
65050,41.13288,-7.777,1063.43
64047,40.74899,-8.57127,931.59
66054,41.55713,-6.67173,1124.21
66055,41.60631,-6.37829,1171.24
68051,41.84248,-7.67811,1128.53
68054,41.99644,-6.79444,1197.92
59046,39.60391,-8.54084,1264.01
60044,39.66527,-9.03981,1005.25
59048,39.71197,-7.97312,1353.32
63052,40.79769,-7.07196,1156.72
59050,39.81673,-7.40379,1353.32
55044,38.62276,-8.84895,1328.57
52044,37.96057,-8.66138,1229.43
57046,39.16596,-8.41404,1353.53
52048,38.17416,-7.55141,1448.38
51050,38.05557,-6.93784,1402.31
57045,39.11112,-8.69555,1339.01
69050,42.00807,-8.03799,956.84
64054,41.1174,-6.55138,1271.87
65053,41.28749,-6.90333,1140.78
65054,41.33732,-6.61127,1190.47
66052,41.4562,-7.25737,1086.3
68055,42.04604,-6.49902,1161.03
48046,37.18922,-7.87157,1340.25
50043,37.46551,-8.74132,1255.6
61046,40.04138,-8.67003,1061.04
62046,40.25648,-8.7264,1017.7
62051,40.52706,-7.29974,1249.91
