Muni_ID,ID,Muni,tot_input,irrig_tot_input,diff_tot_input,gnb,irrig_gnb,diff_gnb,nue,irrig_nue,diff_nue
1306,1141306,Maia,442.98838816,442.98838816,0,168,168,0,62,62,0
1308,1141308,Matosinhos,486.18088116,486.18088116,0,167,167,0,65,65,0
1312,1141312,Porto,196.4,196.4,0,140,140,0,28,28,0
1313,1141313,Póvoa de Varzim,590.4,796.968653,206.568653,131,338,207,77,57,-20
1315,1141315,Valongo,1162.97640333,1162.97640333,0,973,973,0,16,16,0
1316,1141316,Vila do Conde,646.341730705,646.341730705,0,141,141,0,78,78,0
1317,1141317,Vila Nova de Gaia,238.285593,238.285593,0,159,159,0,33,33,0
1301,1151301,Amarante,83.072552318,83.072552318,0,59,59,0,28,28,0
1302,1151302,Baião,70,70,0,44,44,0,36,36,0
304,1150304,Cabeceiras de Basto,90.6,90.6,0,45,45,0,50,50,0
106,1150106,Castelo de Paiva,186.8,188.361545319,1.561545319,125,127,2,32,32,0
305,1150305,Celorico de Basto,183.462968944,183.462968944,0,115,115,0,37,37,0
1804,1151804,Cinfães,106.6,106.6,0,53,53,0,49,49,0
1303,1151303,Felgueiras,188.988266175,188.988266175,0,116,116,0,38,38,0
1305,1151305,Lousada,216.807846481,216.807846481,0,145,145,0,33,33,0
1307,1151307,Marco de Canaveses,118.449965517,118.449965517,0,77,77,0,34,34,0
1705,1151705,Mondim de Basto,55.2,55.2,0,32,32,0,40,40,0
1309,1151309,Paços de Ferreira,290.2177206,290.2177206,0,149,149,0,48,48,0
1310,1151310,Paredes,211.2,211.2,0,128,128,0,38,38,0
1311,1151311,Penafiel,174.25427286,174.25427286,0,103,103,0,40,40,0
1813,1151813,Resende,63.010533216,63.010533216,0,39,39,0,36,36,0
1709,1151709,Ribeira de Pena,61.503605545,61.503605545,0,31,31,0,48,48,0
104,1160104,Arouca,166.7,166.7,0,64,64,0,61,61,0
113,1160113,Oliveira de Azeméis,517.940078832,517.940078832,0,172,172,0,66,66,0
109,1160109,Santa Maria da Feira,336.416888659,336.416888659,0,182,182,0,45,45,0
116,1160116,São João da Madeira,0,,,0,,,0,0,0
119,1160119,Vale de Cambra,137.9,137.9,0,72,72,0,47,47,0
1701,1171701,Alijó,26.195992547,26.195992547,0,16,16,0,38,38,0
1801,1171801,Armamar,29.284591778,29.284591778,0,21,21,0,28,28,0
403,1170403,Carrazeda de Ansiães,36.81056673,36.81056673,0,22,22,0,39,39,0
404,1170404,Freixo de Espada à Cinta,33.2,33.2,0,19,19,0,40,40,0
1805,1171805,Lamego,28.429578976,28.429578976,0,17,17,0,37,37,0
1704,1171704,Mesão Frio,4.9,4.9,0,0,0,0,89,89,0
1807,1171807,Moimenta da Beira,81.016537133,81.016537133,0,30,30,0,62,62,0
1812,1171812,Penedono,86.9,86.9,0,67,67,0,22,22,0
1708,1171708,Peso da Régua,22.499225807,22.499225807,0,16,16,0,25,25,0
1710,1171710,Sabrosa,63.181269854,63.181269854,0,51,51,0,19,19,0
1711,1171711,Santa Marta de Penaguião,21.9,21.9,0,16,16,0,23,23,0
1815,1171815,São João da Pesqueira,30.412965697,30.412965697,0,23,23,0,23,23,0
1818,1171818,Sernancelhe,72.9,72.9,0,52,52,0,27,27,0
1819,1171819,Tabuaço,38.951472454,39.156531134,0.205058680000001,29,29,0,23,23,0
1820,1171820,Tarouca,83.342251029,83.342251029,0,48,48,0,41,41,0
409,1170409,Torre de Moncorvo,36.509290037,36.509290037,0,20,20,0,43,43,0
410,1170410,Vila Flor,42.8,42.8,0,29,29,0,30,30,0
914,1170914,Vila Nova de Foz Côa,26.8,26.8,0,16,16,0,38,38,0
1714,1171714,Vila Real,49.930290509,49.930290509,0,22,22,0,54,54,0
401,1180401,Alfândega da Fé,43.8,43.930193011,0.130193010999996,29,29,0,32,32,0
1702,1181702,Boticas,44,44.568706579,0.568706579000001,22,23,1,48,47,-1
402,1180402,Bragança,59.55091792,61.057247747,1.50632982699999,39,40,1,34,33,-1
1703,1181703,Chaves,83.961529465,83.961529465,0,46,46,0,44,44,0
405,1180405,Macedo de Cavaleiros,60.364109506,60.364109506,0,39,39,0,34,34,0
406,1180406,Miranda do Douro,42.6,42.6,0,15,15,0,62,62,0
407,1180407,Mirandela,50.569596195,50.668662395,0.0990662000000029,35,35,0,29,29,0
408,1180408,Mogadouro,51.3,51.340464677,0.0404646770000028,22,22,0,55,55,0
1706,1181706,Montalegre,30.705493794,30.705493794,0,13,13,0,55,55,0
