Muni_ID,ID,Muni,tot_input,tot_output,gnb
1601,1111601,Arcos de Valdevez,49.8,34.8,15
1602,1111602,Caminha,56.446738858,18.9,37
1603,1111603,Melga�o,18.345516849,9.1,9
1604,1111604,Mon��o,67.905674705,40.6,27
1605,1111605,Paredes de Coura,108.947947765,68.7,40
1606,1111606,Ponte da Barca,85.099871082,45.4,39
1607,1111607,Ponte de Lima,161.53019704,70.6,90
1608,1111608,Valen�a,95.204265379,44.2,51
1609,1111609,Viana do Castelo,135.173110733,61.1,74
1610,1111610,Vila Nova de Cerveira,113.193956775,61.6,51
301,1120301,Amares,242.2,75.6,166
302,1120302,Barcelos,525.202720269,352.3,172
303,1120303,Braga,343.405202969,162.8,180
306,1120306,Esposende,427.908285728,249.5,178
310,1120310,Terras de Bouro,36.922560283,18.5,18
313,1120313,Vila Verde,211.821919025,96.4,115
307,1130307,Fafe,222.263487055,76.8,145
308,1130308,Guimar�es,291.83588402,114.1,177
309,1130309,P�voa de Lanhoso,218.185418037,95.8,122
1314,1131314,Santo Tirso,281.20928349,137.1,144
1318,1131318,Trofa,546.8,331.9,214
311,1130311,Vieira do Minho,65.512132634,41.9,23
312,1130312,Vila Nova de Famalic�o,437.85789271,267.8,170
314,1130314,Vizela,230.2,77.8,152
107,1140107,Espinho,522.7026621,353.2,169
1304,1141304,Gondomar,181.38194799,74.9,106
1306,1141306,Maia,442.98838816,274.8,168
1308,1141308,Matosinhos,486.18088116,318.9,167
1312,1141312,Porto,196.4,56,140
1313,1141313,P�voa de Varzim,590.4,458.9,131
1315,1141315,Valongo,1162.97640333,189.9,973
1316,1141316,Vila do Conde,646.341730705,505.2,141
1317,1141317,Vila Nova de Gaia,238.285593,78.8,159
1301,1151301,Amarante,83.072552318,23.3,59
1302,1151302,Bai�o,70,25.6,44
304,1150304,Cabeceiras de Basto,90.6,45.4,45
106,1150106,Castelo de Paiva,186.8,60.9,125
305,1150305,Celorico de Basto,183.462968944,68.2,115
1804,1151804,Cinf�es,106.6,53.2,53
1303,1151303,Felgueiras,188.988266175,72.2,116
1305,1151305,Lousada,216.807846481,71.7,145
1307,1151307,Marco de Canaveses,118.449965517,41.1,77
1705,1151705,Mondim de Basto,55.2,22.3,32
1309,1151309,Pa�os de Ferreira,290.2177206,140.5,149
1310,1151310,Paredes,211.2,82.3,128
1311,1151311,Penafiel,174.25427286,70.3,103
1813,1151813,Resende,63.010533216,23.3,39
1709,1151709,Ribeira de Pena,61.503605545,30.1,31
104,1160104,Arouca,166.7,102.7,64
113,1160113,Oliveira de Azem�is,517.940078832,345.6,172
109,1160109,Santa Maria da Feira,336.416888659,154.2,182
116,1160116,S�o Jo�o da Madeira,0,0,0
119,1160119,Vale de Cambra,137.9,65.2,72
1701,1171701,Alij�,26.195992547,10,16
1801,1171801,Armamar,29.284591778,8.2,21
403,1170403,Carrazeda de Ansi�es,36.81056673,14.4,22
404,1170404,Freixo de Espada � Cinta,33.2,13.4,19
1805,1171805,Lamego,28.429578976,10.8,17
1704,1171704,Mes�o Frio,4.9,4.4,0
1807,1171807,Moimenta da Beira,81.016537133,50.6,30
