"Muni_ID","ID","Muni","Ewes","Other_ovine"
1601,"1111601","Arcos de Valdevez",581.92542,190.24017
1602,"1111602","Caminha",100.48347,82.84491
1603,"1111603","Melgaço",325.7217,122.58969
1604,"1111604","Monção",775.68099,228.29802
1605,"1111605","Paredes de Coura",501.06501,106.00389
1606,"1111606","Ponte da Barca",97.26564,19.80363
1607,"1111607","Ponte de Lima",486.94386,157.8648
1608,"1111608","Valença",236.55813,77.46201
1609,"1111609","Viana do Castelo",191.1534,59.82546
1610,"1111610","Vila Nova de Cerveira",112.5996,48.80313
301,"1120301","Amares",108.62658,22.72389
302,"1120302","Barcelos",161.10315,60.28107
303,"1120303","Braga",143.28603,24.3903
306,"1120306","Esposende",26.07924,11.50047
310,"1120310","Terras de Bouro",40.52049,8.60073
313,"1120313","Vila Verde",457.48674,87.15654
307,"1130307","Fafe",255.13044,55.07874
308,"1130308","Guimarães",81.15798,10.88481
309,"1130309","Póvoa de Lanhoso",131.92509,25.62162
1314,"1131314","Santo Tirso",109.67934,42.1869
1318,"1131318","Trofa",28.24431,10.28967
311,"1130311","Vieira do Minho",249.47049,54.46308
312,"1130312","Vila Nova de Famalicão",57.6789,19.78311
314,"1130314","Vizela",6.61422,1.36884
107,"1140107","Espinho",1.82646,0.16005
1304,"1141304","Gondomar",96.35241,26.85495
1306,"1141306","Maia",38.6715,13.5075
1308,"1141308","Matosinhos",22.70136,11.95608
1312,"1141312","Porto",1.98651,0.61566
1313,"1141313","Póvoa de Varzim",16.40523,2.00703
1315,"1141315","Valongo",38.21589,5.36238
1316,"1141316","Vila do Conde",50.15145,14.57877
1317,"1141317","Vila Nova de Gaia",63.22185,16.24719
1301,"1151301","Amarante",258.50832,85.14951
1302,"1151302","Baião",296.24607,169.84341
304,"1150304","Cabeceiras de Basto",289.65036,43.10013
106,"1150106","Castelo de Paiva",181.79949,92.22135
305,"1150305","Celorico de Basto",209.42814,41.86881
1804,"1151804","Cinfães",429.26295,204.36333
1303,"1151303","Felgueiras",31.46214,8.12259
1305,"1151305","Lousada",65.04831,13.64502
1307,"1151307","Marco de Canaveses",281.04963,109.8579
1705,"1151705","Mondim de Basto",32.5149,9.21639
1309,"1151309","Paços de Ferreira",86.97597,53.86794
1310,"1151310","Paredes",134.6853,30.2103
1311,"1151311","Penafiel",164.32098,20.55681
1813,"1151813","Resende",113.85144,49.23822
1709,"1151709","Ribeira de Pena",54.91869,13.64502
104,"1160104","Arouca",200.98746,83.62062
113,"1160113","Oliveira de Azeméis",34.51992,18.09417
109,"1160109","Santa Maria da Feira",84.83142,34.51992
116,"1160116","São João da Madeira",0,0
119,"1160119","Vale de Cambra",79.30899,31.46214
1701,"1171701","Alijó",127.63398,10.1091
1801,"1171801","Armamar",41.59176,3.97101
403,"1170403","Carrazeda de Ansiães",355.15629,19.18797
404,"1170404","Freixo de Espada à Cinta",411.01074,27.44808
1805,"1171805","Lamego",170.00145,31.00653
1704,"1171704","Mesão Frio",1.52889,0.31809
1807,"1171807","Moimenta da Beira",210.34137,32.35485
1812,"1171812","Penedono",204.20328,26.99247
