Muni_ID,ID,Muni,fertiliser
904,1680904,Figueira de Castelo Rodrigo,0.4424
907,1680907,Guarda,0.238933333333333
908,1680908,Manteigas,0.175466666666667
909,1680909,Mêda,0.757866666666667
910,1680910,Pinhel,0.321066666666667
911,1680911,Sabugal,0.1008
913,1680913,Trancoso,0.502133333333333
502,1690502,Castelo Branco,0.399466666666667
505,1690505,Idanha-a-Nova,0.4368
507,1690507,Penamacor,0.742933333333333
511,1690511,Vila Velha de Ródão,0.7672
501,16A0501,Belmonte,0.756
503,16A0503,Covilhã,0.7056
504,16A0504,Fundão,0.981866666666667
1001,16B1001,Alcobaça,0.192266666666667
1101,16B1101,Alenquer,1.55493333333333
1102,16B1102,Arruda dos Vinhos,1.4336
1005,16B1005,Bombarral,0.158666666666667
1104,16B1104,Cadaval,0.233333333333333
1006,16B1006,Caldas da Rainha,0.1624
1108,16B1108,Lourinhã,0.905333333333333
1011,16B1011,Nazaré,1.54746666666667
1012,16B1012,Óbidos,0.573066666666667
1014,16B1014,Peniche,1.9992
1112,16B1112,Sobral de Monte Agraço,1.79573333333333
1113,16B1113,Torres Vedras,0.9352
1401,16C1401,Abrantes,1.6464
1402,16C1402,Alcanena,1.1424
1408,16C1408,Constância,1.5456
1410,16C1410,Entroncamento,2.49013333333333
1411,16C1411,Ferreira do Zêzere,0.0112
1421,16C1421,Ourém,0.0168
1417,16C1417,Sardoal,1.30853333333333
1418,16C1418,Tomar,0.5544
1419,16C1419,Torres Novas,1.71173333333333
1420,16C1420,Vila Nova da Barquinha,0.7112
1115,1711115,Amadora,0.0298666666666667
1105,1711105,Cascais,0.0802666666666667
1106,1711106,Lisboa,0
1107,1711107,Loures,1.55306666666667
1109,1711109,Mafra,1.95253333333333
1116,1711116,Odivelas,0.294933333333333
1110,1711110,Oeiras,2.0552
1111,1711111,Sintra,1.73413333333333
1114,1711114,Vila Franca de Xira,2.408
1502,1721502,Alcochete,0.535733333333333
1503,1721503,Almada,2.46773333333333
1504,1721504,Barreiro,1.24693333333333
1506,1721506,Moita,0.438666666666667
1507,1721507,Montijo,0.597333333333333
1508,1721508,Palmela,0.692533333333333
1510,1721510,Seixal,0.0634666666666667
1511,1721511,Sesimbra,0.989333333333333
1512,1721512,Setúbal,0.981866666666667
1501,1811501,Alcácer do Sal,0.56
1505,1811505,Grândola,0.250133333333333
211,1810211,Odemira,0.6328
1509,1811509,Santiago do Cacém,0.451733333333333
1513,1811513,Sines,0.377066666666667
1201,1821201,Alter do Chão,0.5712
1202,1821202,Arronches,0.524533333333333
1203,1821203,Avis,0.731733333333334
1204,1821204,Campo Maior,1.148
1205,1821205,Castelo de Vide,0.367733333333333
1206,1821206,Crato,0.511466666666667
1207,1821207,Elvas,0.866133333333334
