"","Muni_ID","ID","Muni","2009"
"1",1601,"1111601","Arcos de Valdevez",8
"2",1602,"1111602","Caminha",3
"3",1603,"1111603","Melgaço",0
"4",1604,"1111604","Monção",1
"5",1605,"1111605","Paredes de Coura",8
"6",1606,"1111606","Ponte da Barca",12
"7",1607,"1111607","Ponte de Lima",109
"8",1608,"1111608","Valença",0
"9",1609,"1111609","Viana do Castelo",41
"10",1610,"1111610","Vila Nova de Cerveira",1
"11",301,"1120301","Amares",31
"12",302,"1120302","Barcelos",15
"13",303,"1120303","Braga",9
"14",306,"1120306","Esposende",1
"15",310,"1120310","Terras de Bouro",3
"16",313,"1120313","Vila Verde",15
"17",307,"1130307","Fafe",0
"18",308,"1130308","Guimarães",4
"19",309,"1130309","Póvoa de Lanhoso",5
"20",1314,"1131314","Santo Tirso",1
"21",1318,"1131318","Trofa",0
"22",311,"1130311","Vieira do Minho",17
"23",312,"1130312","Vila Nova de Famalicão",1
"24",314,"1130314","Vizela",0
"25",107,"1140107","Espinho",2
"26",1304,"1141304","Gondomar",7
"27",1306,"1141306","Maia",0
"28",1308,"1141308","Matosinhos",1
"29",1312,"1141312","Porto",2
"30",1313,"1141313","Póvoa de Varzim",0
"31",1315,"1141315","Valongo",2
"32",1316,"1141316","Vila do Conde",0
"33",1317,"1141317","Vila Nova de Gaia",13
"34",1301,"1151301","Amarante",95
"35",1302,"1151302","Baião",43
"36",304,"1150304","Cabeceiras de Basto",77
"37",106,"1150106","Castelo de Paiva",36
"38",305,"1150305","Celorico de Basto",70
"39",1804,"1151804","Cinfães",69
"40",1303,"1151303","Felgueiras",1
"41",1305,"1151305","Lousada",1
"42",1307,"1151307","Marco de Canaveses",20
"43",1705,"1151705","Mondim de Basto",24
"44",1309,"1151309","Paços de Ferreira",0
"45",1310,"1151310","Paredes",1
"46",1311,"1151311","Penafiel",10
"47",1813,"1151813","Resende",41
"48",1709,"1151709","Ribeira de Pena",32
"49",104,"1160104","Arouca",50
"50",113,"1160113","Oliveira de Azeméis",0
"51",109,"1160109","Santa Maria da Feira",0
"52",116,"1160116","São João da Madeira",0
"53",119,"1160119","Vale de Cambra",0
"54",1701,"1171701","Alijó",1066
"55",1801,"1171801","Armamar",664
"56",403,"1170403","Carrazeda de Ansiães",1702
"57",404,"1170404","Freixo de Espada à Cinta",2558
"58",1805,"1171805","Lamego",255
"59",1704,"1171704","Mesão Frio",17
"60",1807,"1171807","Moimenta da Beira",275
"61",1812,"1171812","Penedono",357
"62",1708,"1171708","Peso da Régua",255
"63",1710,"1171710","Sabrosa",513
"64",1711,"1171711","Santa Marta de Penaguião",213
"65",1815,"1171815","São João da Pesqueira",2657
"66",1818,"1171818","Sernancelhe",256
"67",1819,"1171819","Tabuaço",1130
"68",1820,"1171820","Tarouca",284
"69",409,"1170409","Torre de Moncorvo",5114
"70",410,"1170410","Vila Flor",4408
"71",914,"1170914","Vila Nova de Foz Côa",3797
"72",1714,"1171714","Vila Real",536
"73",401,"1180401","Alfândega da Fé",5969
"74",1702,"1181702","Boticas",13
"75",402,"1180402","Bragança",2949
"76",1703,"1181703","Chaves",435
"77",405,"1180405","Macedo de Cavaleiros",8659
"78",406,"1180406","Miranda do Douro",930
"79",407,"1180407","Mirandela",14181
"80",408,"1180408","Mogadouro",6447
"81",1706,"1181706","Montalegre",1
"82",1707,"1181707","Murça",1273
"83",1712,"1181712","Valpaços",5344
"84",1713,"1181713","Vila Pouca de Aguiar",75
"85",411,"1180411","Vimioso",2225
"86",412,"1180412","Vinhais",711
"87",101,"1610101","Águeda",7
"88",102,"1610102","Albergaria-a-Velha",0
"89",103,"1610103","Anadia",63
"90",105,"1610105","Aveiro",0
"91",108,"1610108","Estarreja",42
"92",110,"1610110","Ílhavo",0
"93",111,"1610111","Mealhada",180
"94",112,"1610112","Murtosa",0
"95",114,"1610114","Oliveira do Bairro",7
"96",115,"1610115","Ovar",0
"97",117,"1610117","Sever do Vouga",1
"98",118,"1610118","Vagos",0
"99",602,"1620602","Cantanhede",290
"100",603,"1620603","Coimbra",365
"101",604,"1620604","Condeixa-a-Nova",538
"102",605,"1620605","Figueira da Foz",9
"103",608,"1620608","Mira",0
"104",610,"1620610","Montemor-o-Velho",149
"105",613,"1620613","Penacova",168
"106",615,"1620615","Soure",931
"107",1004,"1631004","Batalha",171
"108",1009,"1631009","Leiria",363
"109",1010,"1631010","Marinha Grande",2
"110",1015,"1631015","Pombal",722
"111",1016,"1631016","Porto de Mós",966
"112",1002,"1641002","Alvaiázere",1016
"113",1003,"1641003","Ansião",1548
"114",601,"1640601","Arganil",326
"115",1007,"1641007","Castanheira de Pêra",49
"116",1008,"1641008","Figueiró dos Vinhos",188
"117",606,"1640606","Góis",47
"118",607,"1640607","Lousã",50
"119",609,"1640609","Miranda do Corvo",185
"120",611,"1640611","Oliveira do Hospital",748
"121",612,"1640612","Pampilhosa da Serra",277
"122",1013,"1641013","Pedrógão Grande",305
"123",614,"1640614","Penela",540
"124",616,"1640616","Tábua",417
"125",617,"1640617","Vila Nova de Poiares",67
"126",901,"1650901","Aguiar da Beira",115
"127",1802,"1651802","Carregal do Sal",256
"128",1803,"1651803","Castro Daire",46
"129",1806,"1651806","Mangualde",424
"130",1808,"1651808","Mortágua",52
"131",1809,"1651809","Nelas",592
"132",1810,"1651810","Oliveira de Frades",16
"133",1811,"1651811","Penalva do Castelo",367
"134",1814,"1651814","Santa Comba Dão",109
"135",1816,"1651816","São Pedro do Sul",92
"136",1817,"1651817","Sátão",178
"137",1821,"1651821","Tondela",409
"138",1822,"1651822","Vila Nova de Paiva",1
"139",1823,"1651823","Viseu",870
"140",1824,"1651824","Vouzela",78
"141",1413,"1661413","Mação",1032
"142",506,"1660506","Oleiros",738
"143",508,"1660508","Proença-a-Nova",2353
"144",509,"1660509","Sertã",1591
"145",510,"1660510","Vila de Rei",231
"146",905,"1670905","Fornos de Algodres",465
"147",906,"1670906","Gouveia",995
"148",912,"1670912","Seia",1399
"149",902,"1680902","Almeida",285
"150",903,"1680903","Celorico da Beira",820
"151",904,"1680904","Figueira de Castelo Rodrigo",4277
"152",907,"1680907","Guarda",686
"153",908,"1680908","Manteigas",22
"154",909,"1680909","Meda",1903
"155",910,"1680910","Pinhel",2361
"156",911,"1680911","Sabugal",312
"157",913,"1680913","Trancoso",1302
"158",502,"1690502","Castelo Branco",8691
"159",505,"1690505","Idanha-a-Nova",6537
"160",507,"1690507","Penamacor",2947
"161",511,"1690511","Vila Velha de Ródão",2438
"162",501,"16A0501","Belmonte",428
"163",503,"16A0503","Covilhã",1237
"164",504,"16A0504","Fundão",4285
"165",1001,"16B1001","Alcobaça",267
"166",1101,"16B1101","Alenquer",75
"167",1102,"16B1102","Arruda dos Vinhos",14
"168",1005,"16B1005","Bombarral",1
"169",1104,"16B1104","Cadaval",39
"170",1006,"16B1006","Caldas da Rainha",46
"171",1108,"16B1108","Lourinhã",6
"172",1011,"16B1011","Nazaré",1
"173",1012,"16B1012","Óbidos",3
"174",1014,"16B1014","Peniche",0
"175",1112,"16B1112","Sobral de Monte Agraço",16
"176",1113,"16B1113","Torres Vedras",13
"177",1401,"16C1401","Abrantes",3417
"178",1402,"16C1402","Alcanena",2318
"179",1408,"16C1408","Constância",120
"180",1410,"16C1410","Entroncamento",18
"181",1411,"16C1411","Ferreira do Zêzere",1168
"182",1421,"16C1421","Ourém",1986
"183",1417,"16C1417","Sardoal",855
"184",1418,"16C1418","Tomar",2543
"185",1419,"16C1419","Torres Novas",3219
"186",1420,"16C1420","Vila Nova da Barquinha",94
"187",1115,"1711115","Amadora",9
"188",1105,"1711105","Cascais",45
"189",1106,"1711106","Lisboa",1
"190",1107,"1711107","Loures",146
"191",1109,"1711109","Mafra",15
"192",1116,"1711116","Odivelas",8
"193",1110,"1711110","Oeiras",6
"194",1111,"1711111","Sintra",13
"195",1114,"1711114","Vila Franca de Xira",31
"196",1502,"1721502","Alcochete",0
"197",1503,"1721503","Almada",8
"198",1504,"1721504","Barreiro",18
"199",1506,"1721506","Moita",1
