Muni_ID,Muni,Full_ID,nuts3_name,nuts3_ID,nuts2_ID
1601,ARCOS DE VALDEVEZ,1111601,ALTO MINHO,111,11
1707,MURÇA,1181707,DOURO,11D,11
708,MOURÃO,1830708,ALENTEJO CENTRAL,187,18
1607,PONTE DE LIMA,1111607,ALTO MINHO,111,11
1714,VILA REAL,1171714,DOURO,11D,11
406,MIRANDA DO DOURO,1180406,TERRAS DE TRÁS-OS-MONTES,11E,11
713,VIANA DO ALENTEJO,1830713,ALENTEJO CENTRAL,187,18
1704,MESÃO FRIO,1171704,DOURO,11D,11
1504,BARREIRO,1721504,ÁREA METROPOLITANA DE LISBOA,170,17
207,CUBA,1840207,BAIXO ALENTEJO,184,18
1211,MONFORTE,1821211,ALTO ALENTEJO,186,18
1202,ARRONCHES,1821202,ALTO ALENTEJO,186,18
1604,MONÇÃO,1111604,ALTO MINHO,111,11
311,VIEIRA DO MINHO,1130311,AVE,119,11
908,MANTEIGAS,1680908,BEIRAS E SERRA DA ESTRELA,16J,16
913,TRANCOSO,1680913,BEIRAS E SERRA DA ESTRELA,16J,16
910,PINHEL,1680910,BEIRAS E SERRA DA ESTRELA,16J,16
1310,PAREDES,1151310,ÁREA METROPOLITANA DO PORTO,11A,11
1513,SINES,1811513,ALENTEJO LITORAL,181,18
1605,PAREDES DE COURA,1111605,ALTO MINHO,111,11
1803,CASTRO DAIRE,1651803,VISEU DÃO LAFÕES,16G,16
313,VILA VERDE,1120313,CÁVADO,112,11
1305,LOUSADA,1151305,TÂMEGA E SOUSA,11C,11
408,MOGADOURO,1180408,TERRAS DE TRÁS-OS-MONTES,11E,11
1409,CORUCHE,1851409,LEZÍRIA DO TEJO,185,18
1702,BOTICAS,1181702,ALTO TÂMEGA,11B,11
710,REDONDO,1830710,ALENTEJO CENTRAL,187,18
309,PÓVOA DE LANHOSO,1130309,AVE,119,11
815,VILA DO BISPO,1500815,ALGARVE,150,15
409,TORRE DE MONCORVO,1170409,DOURO,11D,11
701,ALANDROAL,1830701,ALENTEJO CENTRAL,187,18
211,ODEMIRA,1810211,ALENTEJO LITORAL,181,18
1402,ALCANENA,16C1402,MÉDIO TEJO,16I,16
204,BARRANCOS,1840204,BAIXO ALENTEJO,184,18
308,GUIMARÃES,1130308,AVE,119,11
206,CASTRO VERDE,1840206,BAIXO ALENTEJO,184,18
703,BORBA,1830703,ALENTEJO CENTRAL,187,18
314,VIZELA,1130314,AVE,119,11
1317,VILA NOVA DE GAIA,1141317,ÁREA METROPOLITANA DO PORTO,11A,11
1311,PENAFIEL,1151311,TÂMEGA E SOUSA,11C,11
1214,PORTALEGRE,1821214,ALTO ALENTEJO,186,18
503,COVILHÃ,16A0503,BEIRAS E SERRA DA ESTRELA,16J,16
706,MONTEMOR-O-NOVO,1830706,ALENTEJO CENTRAL,187,18
704,ESTREMOZ,1830704,ALENTEJO CENTRAL,187,18
901,AGUIAR DA BEIRA,1650901,VISEU DÃO LAFÕES,16G,16
1304,GONDOMAR,1141304,ÁREA METROPOLITANA DO PORTO,11A,11
1703,CHAVES,1181703,ALTO TÂMEGA,11B,11
1407,CHAMUSCA,1851407,LEZÍRIA DO TEJO,185,18
101,ÁGUEDA,1610101,REGIÃO DE AVEIRO,16D,16
1206,CRATO,1821206,ALTO ALENTEJO,186,18
1709,RIBEIRA DE PENA,1151709,ALTO TÂMEGA,11B,11
1201,ALTER DO CHÃO,1821201,ALTO ALENTEJO,186,18
1804,CINFÃES,1151804,TÂMEGA E SOUSA,11C,11
906,GOUVEIA,1670906,BEIRAS E SERRA DA ESTRELA,16J,16
310,TERRAS DE BOURO,1120310,CÁVADO,112,11
1816,SÃO PEDRO DO SUL,1651816,VISEU DÃO LAFÕES,16G,16
203,ALVITO,1840203,BAIXO ALENTEJO,184,18
1501,ALCÁCER DO SAL,1811501,ALENTEJO LITORAL,181,18
903,CELORICO DA BEIRA,1680903,BEIRAS E SERRA DA ESTRELA,16J,16
501,BELMONTE,16A0501,BEIRAS E SERRA DA ESTRELA,16J,16
1207,ELVAS,1821207,ALTO ALENTEJO,186,18
1208,FRONTEIRA,1821208,ALTO ALENTEJO,186,18
107,ESPINHO,1140107,ÁREA METROPOLITANA DO PORTO,11A,11
209,MÉRTOLA,1840209,BAIXO ALENTEJO,184,18
212,OURIQUE,1840212,BAIXO ALENTEJO,184,18
1822,VILA NOVA DE PAIVA,1651822,VISEU DÃO LAFÕES,16G,16
