main_crop,crop,DM_frac,N_res,Res_trees,source
citrus,lemon,0.6,3.5,12,"Dias, 2002"
citrus,orange,0.6,3.5,12,"Dias, 2002"
citrus,other_citrus,0.6,3.5,12,"Dias, 2002"
citrus,tangerine,0.6,3.5,12,"Dias, 2002"
dried_fruits,almonds,0.94,3.6,14.4,"Dias, 2002"
dried_fruits,chestnut,0.94,3.6,11.1,"Dias, 2002"
dried_fruits,locust,0.94,3.6,11.1,"Dias, 2002"
dried_fruits,nuuts,0.94,3.6,11.1,"Dias, 2002"
dried_fruits,other_dried_nuts,0.94,3.6,11.1,"Dias, 2002"
fresh_fruits,apple,0.6,4,4.8,"APA, 2017; Table 5.45"
fresh_fruits,cherry,0.6,4,4,"APA, 2017; Table 5.45"
fresh_fruits,other_fresh_fruits,0.6,4,5.325,"APA, 2017; Table 5.45"
fresh_fruits,peach,0.6,4,7.9,"APA, 2017; Table 5.45"
fresh_fruits,pear,0.6,4,4.6,"APA, 2017; Table 5.45"
olive_grove,olive_grove,0.6,2.9,2.8,"Dias, 2002"
vineyard,vineyard,0.75,2.7,NA,"Dias, 2002"
