main_crop,crop,DM_frac,FRAC_removed,N_AG,R_BG_BIO,N_BG,source,slope,intercept,R_P2O5_kgNtonDM-1,source
cereals,barley,0.89,0.67,0.0045,0.22,0.014,"APA, 2017; Table 5.45",0.98,0.59,2,"IPCC, 2006"
cereals,maize,0.87,0.65,0.0095,0.22,0.009,"APA, 2017; Table 5.45",1.03,0.61,3.5,"IPCC, 2006"
cereals,oat,0.89,0.67,0.0056,0.25,0.008,"APA, 2017; Table 5.45",0.91,0.89,3,"IPCC, 2006"
cereals,rice,0.89,0.67,0.0088,0.16,0.009,"APA, 2017; Table 5.45",0.95,2.46,4.5,"IPCC, 2006"
cereals,rye,0.88,0.67,0.0085,0.23,0.011,"APA, 2017; Table 5.45",1.09,0.88,2.5,"IPCC, 2006"
cereals,triticale,0.88,0.67,0.0085,0.23,0.009,"APA, 2017; Table 5.45",1.61,0.4,2.5,"IPCC, 2006"
cereals,wheat,0.89,0.67,0.0057,0.24,0.009,"APA, 2017; Table 5.45",1.51,0.52,2,"IPCC, 2006"
citrus,lemon,0.6,0,3.5,NA,NA,"Dias, 2002",NA,NA,,NA
citrus,orange,0.6,0,3.5,NA,NA,"Dias, 2002",NA,NA,,NA
citrus,other_citrus,0.6,0,3.5,NA,NA,"Dias, 2002",NA,NA,,NA
citrus,tangerine,0.6,0,3.5,NA,NA,"Dias, 2002",NA,NA,,NA
dried_fruits,almonds,0.94,0,3.6,NA,NA,"Dias, 2002",NA,NA,,NA
dried_fruits,chestnut,0.94,0,3.6,NA,NA,"Dias, 2002",NA,NA,,NA
dried_fruits,locust,0.94,0,3.6,NA,NA,"Dias, 2002",NA,NA,,NA
dried_fruits,nuuts,0.94,0,3.6,NA,NA,"Dias, 2002",NA,NA,,NA
dried_fruits,other_dried_nuts,0.94,0,3.6,NA,NA,"Dias, 2002",NA,NA,,NA
fresh_fruits,apple,0.6,0,4,NA,NA,"APA, 2017; Table 5.45",NA,NA,,NA
fresh_fruits,cherry,0.6,0,4,NA,NA,"APA, 2017; Table 5.45",NA,NA,,NA
fresh_fruits,other_fresh_fruits,0.6,0,4,NA,NA,"APA, 2017; Table 5.45",NA,NA,,NA
fresh_fruits,peach,0.6,0,4,NA,NA,"APA, 2017; Table 5.45",NA,NA,,NA
fresh_fruits,pear,0.6,0,4,NA,NA,"APA, 2017; Table 5.45",NA,NA,,NA
industry,sunflower,0.87,0,0.0103,0.22,0.008,"APA, 2017; Table 5.45",0.1,1.06,2.5,"IPCC, 2006"
industry,other_industry,0.06,0,0.019,0.2,0.009,"APA, 2017; Table 5.45",0.1,1.06,,"IPCC, 2006"
olive_grove,olive_grove,0.6,0,2.9,NA,NA,"Dias, 2002",NA,NA,,NA
potato,potato,0.19,0,0.0142,0.2,0.014,"APA, 2017; Table 5.45",0.1,1.06,0.5,"IPCC, 2006"
vineyard,vineyard,0.75,0,2.7,NA,NA,"Dias, 2002",NA,NA,,NA
pulses,bean,0.88,0,0.1,0.19,0.008,"APA, 2017; Table 5.45",1.09,0.88,,"IPCC, 2006"
pulses,chickpea,0.91,0,0.008,0.19,0.008,"APA, 2017; Table 5.45; CdBPA, 2018",1.09,0.88,,"IPCC, 2006"
pulses,other_pulses,0.91,0,0.008,0.19,0.008,"APA, 2017; Table 5.45",1.09,0.88,,"IPCC, 2006"
pastures,intensive_pasture,0.9,0,0.025,0.8,0.016,"APA, 2017; Table 5.45; CdBPA, 2019",0.3,0,,"IPCC, 2006"
pastures,extensive_pasture,0.9,0,0.015,0.8,0.012,"APA, 2017; Table 5.46",0.3,0,,"IPCC, 2006"
