main_crop,crop,CN_ratio,source,Comment
cereals,barley,105,CdBP18,Averages
cereals,maize,78.5,CdBP18,Averages
cereals,oat,100,CdBP18,Averages
cereals,rice,0,CdBP18,Averages
cereals,rye,100,CdBP18,Averages
cereals,triticale,100,CdBP18,Averages
cereals,wheat,100,CdBP18,Averages
citrus,lemon,ND,CdBP18,Averages
citrus,orange,ND,CdBP18,Averages
citrus,other_citrus,ND,CdBP18,Averages
citrus,tangerine,ND,CdBP18,Averages
dried_fruits,almonds,ND,CdBP18,Averages
dried_fruits,chestnut,ND,CdBP18,Averages
dried_fruits,locust,ND,CdBP18,Averages
dried_fruits,nuuts,ND,CdBP18,Averages
dried_fruits,other_dried_nuts,ND,CdBP18,Averages
fresh_fruits,apple,ND,CdBP18,Averages
fresh_fruits,cherry,ND,CdBP18,Averages
fresh_fruits,other_fresh_fruits,ND,CdBP18,Averages
fresh_fruits,peach,ND,CdBP18,Averages
fresh_fruits,pear,ND,CdBP18,Averages
industry,sunflower,23.5,CdBP18,Averages
industry,other_industry,ND,CdBP18,Averages
olive_grove,olive_grove,,CdBP18,Averages
potato,potato,,CdBP18,Averages
vineyard,vineyard,,CdBP18,Averages
pulses,bean,,CdBP18,Averages
pulses,chickpea,,CdBP18,Averages
pulses,other_pulses,,CdBP18,Averages
pastures,intensive_pasture,,CdBP18,Averages
pastures,extensive_pasture,,CdBP18,Averages
