aquifer_ID,main_hydro,diff_leach,diff_drain,ER,,,,,,,,
1,massif,1,-0.4,-1.4,,,,,,,,
2,massif,36,-0.9,-40.2,,,,,,,,
3,massif,-494,-40.6,12.2,,,,,,,,
4,western,1,-0.2,-3.1,,,,,,,,
5,massif,44,-0.9,-50.5,,,,,,,,
6,massif,26,-1.9,-13.6,,,,,,,,
7,massif,-172,-24.5,7.0,,,,,,,,
8,western,-19,-7.2,2.7,,,,,,,,
9,western,4,-1.9,-2.0,,,,,,,,
10,massif,0,0.0,0.0,,,,,,,,
11,western,-13,-1.5,8.6,,,,,,,,
12,tagus_sado,-121,-17.2,7.1,,,,,,,,
13,tagus_sado,-105,-74.6,1.4,,,,,,,,
14,massif,-47,-1.4,33.1,,,,,,,,
15,western,3,-1.9,-1.6,,,,,,,,
16,massif,-48,-0.3,146.1,,,,,,,,
17,western,20,-17.8,-1.1,,,,,,,,
18,western,-10,-3.1,3.3,,,,,,,,
19,western,0,-1.7,-0.1,,,,,,,,
20,western,-36,-8.8,4.1,,,,,,,,
21,western,8,-8.3,-1.0,,,,,,,,
22,western,-5,-4.5,1.1,,,,,,,,
23,western,25,-26.6,-0.9,,,,,0,,,1.2
24,western,-29,-8.7,3.3,,,,,,,,
25,western,-3,-5.5,0.5,,,,,,,,
26,western,0,-2.9,0.0,,,,,,,,
27,western,15,-14.0,-1.1,,,,,,,,
28,massif,-1,-2.5,0.6,,,,,,,,
29,western,20,-29.9,-0.7,,,,,,,,
30,massif,-14,-7.3,1.9,,,,,,,,
31,western,-4,-0.6,6.4,,,,,,,,
32,massif,-35,1.6,-22.4,,,,,,,,
33,western,-416,-18.4,22.6,,,,,,,,
34,western,-478,-57.1,8.4,,,,,,,,
35,western,-9,-7.6,1.2,,,,,,,,
36,western,-1,-0.1,5.9,,,,,,,,
37,western,5,2.1,2.6,,,,,,,,
38,western,-17,-13.7,1.2,,,,,,,,
39,massif,-401,18.6,-21.6,,,,,,,,
40,massif,-1176,-84.2,14.0,,,,,,,,
41,massif,-283,-26.0,10.9,,,,,,,,
42,massif,-488,-76.1,6.4,,,,,,,,
43,tagus_sado,-123,-23.6,5.2,,,,,,,,
44,tagus_sado,-520,-25.6,20.3,,,,,,,,
45,tagus_sado,-530,-156.4,3.4,,,,,,,,
46,tagus_sado,-154,-49.6,3.1,,,,,,,,
47,meridional,-7,-0.1,122.7,,,,,,,,
48,massif,0,-0.7,0.0,,,,,,,,
49,meridional,0,0.0,0.0,,,,,,,,
50,meridional,-4,-0.2,16.8,,,,,,,,
51,western,-2,-0.8,3.0,,,,,,,,
52,massif,37,-3.2,-11.6,,,,,,,,
53,massif,61,-8.0,-7.5,,,,,,,,
54,massif,28,-9.3,-3.0,,,,,,,,
55,massif,-38,-50.6,0.7,,,,,,,,
56,massif,-2,1.6,-1.0,,,,,,,,
57,massif,-18,-0.3,62.2,,,,,,,,
58,meridional,-56,0.2,-247.5,,,,,,,,
59,massif,-79,-47.1,1.7,,,,,,,,
60,meridional,-19,-0.9,21.8,,,,,,,,
61,meridional,-93,-2.1,44.7,,,,,,,,
62,meridional,-1,1.1,-1.0,,,,,,,,
63,western,-7,-3.6,2.0,,,,,,,,
64,massif,-48,-8.5,5.7,,,,,,,,
65,meridional,-82,-8.6,9.5,,,,,,,,
66,western,-18,-10.9,1.6,,,,,,,,
67,western,-1,-3.0,0.3,,,,,,,,
68,meridional,-7,-0.2,34.3,,,,,,,,
69,meridional,-4,-0.4,10.7,,,,,,,,
70,meridional,-42,-3.2,13.4,,,,,,,,
71,meridional,-4,-0.6,6.0,,,,,,,,
72,meridional,-5,0.6,-8.3,,,,,,,,
73,massif,-9,-0.6,14.5,,,,,,,,
74,western,-1,-3.0,0.4,,,,,,,,
75,meridional,-35,-0.6,54.9,,,,,,,,
76,meridional,-8,-0.6,13.7,,,,,,,,
77,meridional,-15,-1.2,12.5,,,,,,,,
78,meridional,-2,0.2,-6.2,,,,,,,,
79,massif,-1,0.0,-438.1,,,,,,,,
80,meridional,-24,-0.9,27.8,,,,,,,,
81,western,-1,-0.1,4.2,,,,,,,,
82,meridional,-25,-0.8,30.9,,,,,,,,
83,meridional,-13,-1.3,10.4,,,,,,,,
84,meridional,-24,-2.3,10.6,,,,,,,,
85,massif,-1385,-135.1,10.3,,,,,,,,
86,western,-2,-0.7,3.6,,,,,,,,
87,western,-1,-0.2,4.3,,,,,,,,
88,western,1,-4.1,-0.3,,,,,,,,
89,western,-42,-4.5,9.4,,,,,,,,
90,massif,-25,-19.4,1.3,,,,,,,,
91,western,-28,-11.5,2.4,,,,,,,,
92,meridional,-6,-0.4,13.0,,,,,,,,
93,massif,-146,-28.0,5.2,,,,,,,,
