aquifer_ID,gw_type,recharge,drainage99,drainage09,Diff_drainage,,,,
35,Aq,50,1.7E+10,9.3E+09,-7.6E+09,,,,
36,Aq,50,2.1E+08,8.5E+07,-1.3E+08,,,,
37,Aq,8,2.5E+09,4.6E+09,2.1E+09,,,,
38,Aq,13,2.4E+10,1.0E+10,-1.4E+10,,,,
39,Ind,5,1.0E+11,1.2E+11,1.9E+10,,,,
40,Ind,3.5,2.3E+11,1.5E+11,-8.4E+10,,,,
41,Ind,3.5,6.6E+10,4.0E+10,-2.6E+10,,,,
42,Ind,3.5,1.4E+11,6.3E+10,-7.6E+10,,,,
43,Ind,3.5,9.0E+10,6.6E+10,-2.4E+10,,,,
44,Aq,28,8.2E+10,5.7E+10,-2.6E+10,,,,
45,Aq,18,5.2E+11,3.6E+11,-1.6E+11,,,,
46,Aq,28,1.4E+11,9.0E+10,-5.0E+10,,,,
47,Aq,18,2.4E+09,2.3E+09,-5.5E+07,,,,
48,Aq,50,4.0E+09,3.3E+09,-7.2E+08,,,,
49,Aq,50,2.7E+08,#N/A,#N/A,,,,
50,Ind,3.5,5.4E+08,3.2E+08,-2.2E+08,,,,
51,Aq,3.5,1.2E+09,4.3E+08,-8.1E+08,,,,
52,Ind,3.5,4.4E+09,1.1E+09,-3.2E+09,,,,
53,Ind,3.5,2.0E+10,1.2E+10,-8.0E+09,,,,
54,Ind,3.5,2.5E+10,1.6E+10,-9.3E+09,,,,
55,Aq,28,7.3E+10,2.3E+10,-5.1E+10,,,,
56,Aq,8,1.0E+09,2.6E+09,1.6E+09,,,,
57,Ind,3.5,1.6E+09,1.3E+09,-2.9E+08,,,,
58,Ind,3.5,3.0E+09,3.2E+09,2.3E+08,,,,
59,Aq,8,7.9E+10,3.2E+10,-4.7E+10,,,,
60,Ind,3.5,3.9E+09,3.1E+09,-8.5E+08,,,,
61,Ind,3.5,1.1E+10,8.6E+09,-2.1E+09,,,,
62,Aq,50,1.6E+09,2.7E+09,1.1E+09,,,,
63,Aq,3.5,4.3E+09,7.7E+08,-3.6E+09,,,,
64,Aq,13,1.4E+10,5.5E+09,-8.5E+09,,,,
65,Aq,28,4.4E+10,3.5E+10,-8.6E+09,,,,
66,Aq,50,1.9E+10,8.4E+09,-1.1E+10,,,,
67,Aq,3.5,5.3E+09,2.3E+09,-3.0E+09,,,,
68,Aq,18,4.7E+09,4.5E+09,-1.9E+08,,,,
69,Aq,50,8.1E+08,4.2E+08,-3.9E+08,,,,
70,Aq,13,8.0E+09,4.8E+09,-3.2E+09,,,,
