"","GW_ID","RI_Npo99","RI_Npo09"
"1",1,1.5,1
"2",2,2,1.5
"3",3,1.5,3
"4",4,1.00007839112897,2.49999287353373
"5",5,1.5,1
"6",6,2.66558389261745,2.66558389261745
"7",7,2.03982372225507,2.03982372225507
"8",8,2,2
"9",9,1.5290301185354,1.5290301185354
"10",10,2.79702709960391,2.79702709960391
"11",11,2.94722423922371,2.92408739850815
"12",12,2.58123833918351,2.99541472978528
"13",13,2,2
"14",14,2.5,2
"15",15,3,3
"16",16,3,2.5
"17",17,2.5,2.5
"18",18,2.5,3
"19",19,1.5,1
"20",20,1.5,3
"21",21,2,2
"22",22,2,1.5
"23",23,2.5,2
"24",24,2.5,2.5
"25",25,1.71759583046992,1.21759583046992
"26",26,1.68326926181759,1.6221795078784
"27",27,3,2.5
"28",28,1.5,3
"29",29,3,2
"30",30,1,NA
"31",31,2,1.5
"32",32,3,3
"33",33,1,2
"34",34,3.5,3
"35",35,1.5,1
"36",36,2,1.5
"37",37,1.5,3
"38",38,2,2
"39",39,1,1.5
"40",40,1,3
"41",41,2,2
"42",42,2,1.5
"43",43,2,3
"44",44,2,3
"45",45,1.5,3
"46",46,2.5,2.5
"47",47,2,1
"48",48,2,3
"49",49,2,2
"50",50,1.5,3
"51",51,2,3
"52",52,2,1.5
"53",53,1,1
"54",54,1.5,2
"55",55,2,3
"56",56,1.5,1.5
"57",57,2.5,3
"58",58,2.5,3
"59",59,2,3
"60",60,1.5,3
