Muni_ID,ID,Muni,grazing,fertiliser,sludge,manure,leaching_large,leaching_small,leaching_gw,SUM,nha
1601,1111601,Arcos de Valdevez,524.452,441.256,0,192.05,8.883,4.896,454.075,1625.612,0.097487976011994
1602,1111602,Caminha,15.952,0.12,1.086,71.336,1.163,0.754,59.174,149.585,0.066630289532294
1603,1111603,Melgaço,179.84,61.726,0.578,68.76,0.405,0,84.165,395.474,0.0628135324015248
1604,1111604,Monção,184.725,176.092,0.718,89.569,7.136,0,364.997,823.237,0.117437517831669
1605,1111605,Paredes de Coura,101.727,236.67,0.466,102.346,0,0.539,459.641,901.389,0.206220315717227
1606,1111606,Ponte da Barca,159.583,134.515,0.711,121.309,2.257,0.178,346.074,764.627,0.0709038390207715
1607,1111607,Ponte de Lima,151.019,468.107,0.677,326.015,3.578,8.927,736.8,1695.123,0.157950335445397
1608,1111608,Valença,39.268,86.877,0.532,41.633,3.284,0,193.58,365.174,0.174891762452107
1609,1111609,Viana do Castelo,33.499,67.172,1.203,101.006,0.52,1.797,77.076,282.273,0.0397008438818565
1610,1111610,Vila Nova de Cerveira,22.236,47.116,1.138,40.076,0,0,0,110.566,0.114814122533749
301,1120301,Amares,69.65,43.219,0,165.086,2.988,0.117,242.845,523.905,0.246195958646617
302,1120302,Barcelos,143.503,9.094,2.613,741.477,0,0,0,896.687,0.0732886800163465
303,1120303,Braga,109.646,226.633,2.753,186.499,12.851,0.046,222.819,761.247,0.15074198019802
306,1120306,Esposende,17.196,22.526,0.622,94.453,0,0,0,134.797,0.0514099923722349
310,1120310,Terras de Bouro,165.745,189.59,0.224,59.244,6.255,0.191,205.732,626.981,0.0740762051039698
313,1120313,Vila Verde,232.179,417.554,0.091,149.331,0.314,0.243,697.205,1496.917,0.255011413969336
307,1130307,Fafe,230.038,553.525,0.992,179.692,0,2.86,871.519,1838.626,0.393120803934146
308,1130308,Guimarães,127.685,282.477,6.301,293.295,0,11.437,478.525,1199.72,0.218687568355815
309,1130309,Póvoa de Lanhoso,115.345,275.791,0.066,87.461,0.656,0.298,328.495,808.112,0.289645878136201
1314,1131314,Santo Tirso,38.909,68.038,10.629,119.08,0,0,0,236.656,0.0889684210526316
1318,1131318,Trofa,15.845,1.948,0,99.637,0,0,0,117.43,0.073808925204274
