"Muni_ID","ID","Muni","total_cereals","total_citrus","total_dried_fruits","total_fresh_fruits","total_horticulture","total_industry","total_olive_grove","total_potato","total_pulses","total_vineyard","total_municipality"
1601,"1111601","Arcos de Valdevez",51951.43,47.23,93.57,13.62,42.82,0,46.42,844.14,564.7,1922.04,55525.97
1602,"1111602","Caminha",17418.07,11.29,83.79,4.01,0,0,17.41,190.23,79.31,200.21,18004.32
1603,"1111603","Melgaço",10265.64,0,0,0,0,0,0,273.45,79.06,2234.37,12852.52
1604,"1111604","Monção",44096.3,0,6.91,0,14.28,0,5.8,570.68,361.92,5081.39,50137.28
1605,"1111605","Paredes de Coura",20214.99,0,10.36,8.69,7.14,0,46.42,665.8,124.24,104.11,21181.75
1606,"1111606","Ponte da Barca",23288.85,124.21,174.19,7.54,85.63,0,69.63,511.24,327.78,1233.31,25822.38
1607,"1111607","Ponte de Lima",140612.14,348.32,554.18,159.89,149.85,0,632.45,1533.71,998.7,4416.69,149405.93
1608,"1111608","Valença",34880.62,31.99,31.38,4.01,42.81,0,0,237.79,68.02,876.93,36173.55
1609,"1111609","Viana do Castelo",84617.88,134.93,125.24,33.9,192.65,0,237.89,1426.71,294.92,1541.64,88605.76
1610,"1111610","Vila Nova de Cerveira",12795.88,0,3.45,16.17,7.14,0,5.8,118.89,90.35,120.13,13157.81
301,"1120301","Amares",38752.78,1088.65,167.28,108.64,214.07,0,179.87,47.56,137.05,1954.07,42649.97
302,"1120302","Barcelos",77828.1,251.98,160.08,93.31,756.37,0,87.03,1010.59,250.25,3223.42,83661.13
303,"1120303","Braga",97463.55,184.79,502.43,142.98,399.59,0,52.22,618.24,68.28,1825.94,101258.02
306,"1120306","Esposende",24074.98,0,3.45,2.17,2483.15,0,5.8,523.13,79.06,308.33,27480.07
310,"1120310","Terras de Bouro",21749.07,55.88,3.45,13.03,21.41,0,17.41,71.34,203.55,384.41,22519.55
313,"1120313","Vila Verde",104168.95,250.67,250.48,82.18,299.7,0,87.03,986.81,646.3,1765.87,108537.99
307,"1130307","Fafe",69073.75,27.29,59.31,17.53,57.09,0,0,844.14,632.47,1589.69,72301.27
308,"1130308","Guimarães",100705.84,146.97,607.24,76.07,1362.88,0,23.21,630.13,203.81,3559.78,107315.93
309,"1130309","Póvoa de Lanhoso",43113.24,92.4,233.79,30.13,21.41,0,29.01,178.34,203.55,1277.36,45179.23
1314,"1131314","Santo Tirso",39805.78,200.03,349.43,60.69,428.13,0,5.8,903.58,90.35,1589.69,43433.48
1318,"1131318","Trofa",14073.17,38.58,3.45,10.09,392.45,0,0,392.35,11.29,260.28,15181.66
311,"1130311","Vieira do Minho",27523.29,117.81,97.61,7.92,14.28,0,98.64,321.01,338.82,652.69,29172.07
312,"1130312","Vila Nova de Famalicão",62156.23,103.69,122.08,56.88,549.43,0,5.8,392.35,160.91,2786.96,66334.33
