"Muni_ID","ID","Muni","barley","maize","oat","rice","rye","triticale","wheat","total_cereals"
1601,"1111601","Arcos de Valdevez",0,51570.51,12.93,0,367.99,0,0,51951.43
1602,"1111602","Caminha",0,17323.22,25.85,0,69,0,0,17418.07
1603,"1111603","Melgaço",0,10058.64,0,0,207,0,0,10265.64
1604,"1111604","Monção",0,43587.46,25.85,0,482.99,0,0,44096.3
1605,"1111605","Paredes de Coura",0,20117.29,51.7,0,46,0,0,20214.99
1606,"1111606","Ponte da Barca",0,23150.85,0,0,138,0,0,23288.85
1607,"1111607","Ponte de Lima",0,139863.04,180.96,0,551.99,0,16.15,140612.14
1608,"1111608","Valença",0,34646.44,142.18,0,92,0,0,34880.62
1609,"1111609","Viana do Castelo",0,84221.18,51.7,0,345,0,0,84617.88
1610,"1111610","Vila Nova de Cerveira",0,12772.88,0,0,23,0,0,12795.88
301,"1120301","Amares",0,38478.3,90.48,0,184,0,0,38752.78
302,"1120302","Barcelos",0,77595.25,25.85,0,207,0,0,77828.1
303,"1120303","Braga",0,97233.55,0,0,230,0,0,97463.55
306,"1120306","Esposende",0,24028.98,0,0,46,0,0,24074.98
310,"1120310","Terras de Bouro",0,21634.07,0,0,115,0,0,21749.07
313,"1120313","Vila Verde",0,103460.33,64.63,0,643.99,0,0,104168.95
307,"1130307","Fafe",0,68334.91,25.85,0,712.99,0,0,69073.75
308,"1130308","Guimarães",0,99708.3,77.55,0,919.99,0,0,100705.84
309,"1130309","Póvoa de Lanhoso",0,42709.32,12.93,0,390.99,0,0,43113.24
1314,"1131314","Santo Tirso",0,39595.93,25.85,0,184,0,0,39805.78
1318,"1131318","Trofa",0,14050.17,0,0,23,0,0,14073.17
311,"1130311","Vieira do Minho",0,27142.37,12.93,0,367.99,0,0,27523.29
312,"1130312","Vila Nova de Famalicão",0,62028.3,12.93,0,115,0,0,62156.23
314,"1130314","Vizela",0,13810.68,0,0,0,0,0,13810.68
107,"1140107","Espinho",0,1915.93,0,0,0,0,0,1915.93
1304,"1141304","Gondomar",0,27062.54,64.63,0,115,0,0,27242.17
1306,"1141306","Maia",0,16445.08,0,0,0,0,0,16445.08
1308,"1141308","Matosinhos",0,6865.42,0,0,0,0,0,6865.42
1312,"1141312","Porto",0,478.98,0,0,0,0,0,478.98
1313,"1141313","Póvoa de Varzim",0,8621.69,0,0,0,0,0,8621.69
