Muni_ID,ID,Muni,storage09,storage09_nha
1601,1111601,Arcos de Valdevez,511,0.027653483
1602,1111602,Caminha,394,0.119822911
1603,1111603,Melgaço,167,0.010578203
1604,1111604,Monção,369,0.054262753
1605,1111605,Paredes de Coura,503,0.127287325
1606,1111606,Ponte da Barca,562,0.146865947
1607,1111607,Ponte de Lima,1463,0.165419322
1608,1111608,Valença,210,0.076013636
1609,1111609,Viana do Castelo,1023,0.144614307
1610,1111610,Vila Nova de Cerveira,96,0.069958759
301,1120301,Amares,958,0.49669712
302,1120302,Barcelos,3673,0.334338361
303,1120303,Braga,774,0.209843218
306,1120306,Esposende,621,0.294760726
310,1120310,Terras de Bouro,308,0.045378745
313,1120313,Vila Verde,818,0.160260938
307,1130307,Fafe,1587,0.524707764
308,1130308,Guimarães,1259,0.292963449
309,1130309,Póvoa de Lanhoso,280,0.137521831
1314,1131314,Santo Tirso,306,0.140623521
1318,1131318,Trofa,1012,0.632264673
311,1130311,Vieira do Minho,243,0.041128644
312,1130312,Vila Nova de Famalicão,1266,0.237695512
314,1130314,Vizela,39,0.091813503
107,1140107,Espinho,21,0.300256346
1304,1141304,Gondomar,150,0.123412749
1306,1141306,Maia,450,0.261732006
1308,1141308,Matosinhos,283,0.246910425
1312,1141312,Porto,3,0.071500902
1313,1141313,Póvoa de Varzim,1172,0.352257405
1315,1141315,Valongo,2100,3.19608621
1316,1141316,Vila do Conde,2204,0.361727031
1317,1141317,Vila Nova de Gaia,97,0.1029708
1301,1151301,Amarante,344,0.039326488
1302,1151302,Baião,221,0.045628581
304,1150304,Cabeceiras de Basto,528,0.094379914
106,1150106,Castelo de Paiva,156,0.116054162
305,1150305,Celorico de Basto,343,0.106304145
1804,1151804,Cinfães,211,0.047413913
1303,1151303,Felgueiras,433,0.148676808
1305,1151305,Lousada,238,0.099398066
1307,1151307,Marco de Canaveses,171,0.053339929
1705,1151705,Mondim de Basto,132,0.024644046
1309,1151309,Paços de Ferreira,182,0.176888763
1310,1151310,Paredes,280,0.140261352
1311,1151311,Penafiel,281,0.085521387
1813,1151813,Resende,120,0.03510256
1709,1151709,Ribeira de Pena,213,0.029048153
104,1160104,Arouca,424,0.095093673
113,1160113,Oliveira de Azeméis,631,0.393812014
109,1160109,Santa Maria da Feira,227,0.182825798
116,1160116,São João da Madeira,3,0
119,1160119,Vale de Cambra,322,0.172232161
1701,1171701,Alijó,96,0.011133776
1801,1171801,Armamar,40,0.008807914
403,1170403,Carrazeda de Ansiães,84,0.012380934
404,1170404,Freixo de Espada à Cinta,36,0.004968738
1805,1171805,Lamego,85,0.015732702
1704,1171704,Mesão Frio,8,0.007496058
1807,1171807,Moimenta da Beira,465,0.110052876
1812,1171812,Penedono,116,0.033612556
1708,1171708,Peso da Régua,40,0.009545057
1710,1171710,Sabrosa,937,0.184337723
1711,1171711,Santa Marta de Penaguião,30,0.008344272
1815,1171815,São João da Pesqueira,39,0.002952501
1818,1171818,Sernancelhe,628,0.123755517
1819,1171819,Tabuaço,42,0.010291651
1820,1171820,Tarouca,362,0.192022985
409,1170409,Torre de Moncorvo,509,0.035567884
410,1170410,Vila Flor,65,0.007011464
914,1170914,Vila Nova de Foz Côa,25,0.001949693
1714,1171714,Vila Real,790,0.074682367
