"","Muni_ID","ID","Muni","runoff_kgN","runoff_kgNhh"
"50",113,"1160113","Oliveira de Azeméis",0,0
"51",109,"1160109","Santa Maria da Feira",0,0
"52",116,"1160116","São João da Madeira",0,NA
"53",119,"1160119","Vale de Cambra",0,0
"54",1701,"1171701","Alijó",0,0
"55",1801,"1171801","Armamar",0,0
"56",403,"1170403","Carrazeda de Ansiães",0,0
"57",404,"1170404","Freixo de Espada à Cinta",0,0
"58",1805,"1171805","Lamego",0,0
"59",1704,"1171704","Mesão Frio",0,0
"60",1807,"1171807","Moimenta da Beira",0,0
"61",1812,"1171812","Penedono",0,0
"62",1708,"1171708","Peso da Régua",0,0
"63",1710,"1171710","Sabrosa",0,0
"64",1711,"1171711","Santa Marta de Penaguião",0,0
"65",1815,"1171815","São João da Pesqueira",0,0
"66",1818,"1171818","Sernancelhe",0,0
"67",1819,"1171819","Tabuaço",54,0.01
"68",1820,"1171820","Tarouca",0,0
"69",409,"1170409","Torre de Moncorvo",0,0
"70",410,"1170410","Vila Flor",0,0
"71",914,"1170914","Vila Nova de Foz Côa",0,0
"72",1714,"1171714","Vila Real",0,0
"73",401,"1180401","Alfândega da Fé",36,0
"74",1702,"1181702","Boticas",536,0.04
"75",402,"1180402","Bragança",3626,0.1
"76",1703,"1181703","Chaves",0,0
"77",405,"1180405","Macedo de Cavaleiros",0,0
"78",406,"1180406","Miranda do Douro",0,0
"79",407,"1180407","Mirandela",109,0
"80",408,"1180408","Mogadouro",68,0
"81",1706,"1181706","Montalegre",0,0
"82",1707,"1181707","Murça",153,0.03
"83",1712,"1181712","Valpaços",263,0.01
"84",1713,"1181713","Vila Pouca de Aguiar",0,0
"85",411,"1180411","Vimioso",0,0
"86",412,"1180412","Vinhais",0,0
"87",101,"1610101","Águeda",1371,0.72
"88",102,"1610102","Albergaria-a-Velha",297,0.14
"89",103,"1610103","Anadia",79,0.02
"90",105,"1610105","Aveiro",350,0.14
"91",108,"1610108","Estarreja",2005,0.63
"92",110,"1610110","Ílhavo",60,0.07
"93",111,"1610111","Mealhada",387,0.23
"94",112,"1610112","Murtosa",2,0
"95",114,"1610114","Oliveira do Bairro",769,0.43
"96",115,"1610115","Ovar",729,0.44
"97",117,"1610117","Sever do Vouga",2619,4.04
"98",118,"1610118","Vagos",76,0.03
"99",602,"1620602","Cantanhede",422,0.07
"100",603,"1620603","Coimbra",7039,1.36
"101",604,"1620604","Condeixa-a-Nova",1546,0.81
"102",605,"1620605","Figueira da Foz",1145,0.21
"103",608,"1620608","Mira",39,0.04
"104",610,"1620610","Montemor-o-Velho",837,0.1
"105",613,"1620613","Penacova",330,0.42
"106",615,"1620615","Soure",11289,2.3
"107",1004,"1631004","Batalha",376,0.38
"108",1009,"1631009","Leiria",381,0.08
"109",1010,"1631010","Marinha Grande",30,0.19
"110",1015,"1631015","Pombal",2846,0.69
"111",1016,"1631016","Porto de Mós",10,0
"112",1002,"1641002","Alvaiázere",18,0.01
"113",1003,"1641003","Ansião",138,0.06
"114",601,"1640601","Arganil",2073,1.48
"115",1007,"1641007","Castanheira de Pêra",28,0.31
"116",1008,"1641008","Figueiró dos Vinhos",163,0.43
"117",606,"1640606","Góis",36,0.21
"118",607,"1640607","Lousã",79,0.19
"119",609,"1640609","Miranda do Corvo",649,0.94
"120",611,"1640611","Oliveira do Hospital",982,0.33
"121",612,"1640612","Pampilhosa da Serra",23,0.05
"122",1013,"1641013","Pedrógão Grande",47,0.1
"123",614,"1640614","Penela",270,0.24
"124",616,"1640616","Tábua",377,0.18
"125",617,"1640617","Vila Nova de Poiares",24,0.09
"126",901,"1650901","Aguiar da Beira",901,0.3
"127",1802,"1651802","Carregal do Sal",115,0.08
"128",1803,"1651803","Castro Daire",238,0.08
"129",1806,"1651806","Mangualde",193,0.05
"130",1808,"1651808","Mortágua",0,0
"131",1809,"1651809","Nelas",121,0.04
"132",1810,"1651810","Oliveira de Frades",223,0.15
"133",1811,"1651811","Penalva do Castelo",140,0.05
"134",1814,"1651814","Santa Comba Dão",223,0.18
"135",1816,"1651816","São Pedro do Sul",1231,0.33
"136",1817,"1651817","Sátão",160,0.06
"137",1821,"1651821","Tondela",3023,0.72
"138",1822,"1651822","Vila Nova de Paiva",623,0.39
"139",1823,"1651823","Viseu",368,0.06
"140",1824,"1651824","Vouzela",890,0.44
"141",1413,"1661413","Mação",0,0
"142",506,"1660506","Oleiros",370,0.31
"143",508,"1660508","Proença-a-Nova",0,0
"144",509,"1660509","Sertã",72,0.03
"145",510,"1660510","Vila de Rei",13,0.04
"146",905,"1670905","Fornos de Algodres",133,0.05
"147",906,"1670906","Gouveia",1883,0.28
"148",912,"1670912","Seia",1479,0.27
"149",902,"1680902","Almeida",212,0.01
"150",903,"1680903","Celorico da Beira",0,0
"151",904,"1680904","Figueira de Castelo Rodrigo",200,0.01
"152",907,"1680907","Guarda",1299,0.07
"153",908,"1680908","Manteigas",66,0.23
"154",909,"1680909","Mêda",42,0
"155",910,"1680910","Pinhel",83,0
"156",911,"1680911","Sabugal",172,0.01
"157",913,"1680913","Trancoso",0,0
"158",502,"1690502","Castelo Branco",0,0
"159",505,"1690505","Idanha-a-Nova",0,0
"160",507,"1690507","Penamacor",90,0.01
"161",511,"1690511","Vila Velha de Ródão",25,0
"162",501,"16A0501","Belmonte",106,0.02
"163",503,"16A0503","Covilhã",0,0
"164",504,"16A0504","Fundão",336,0.01
"165",1001,"16B1001","Alcobaça",157,0.02
"166",1101,"16B1101","Alenquer",23,0
"167",1102,"16B1102","Arruda dos Vinhos",1,0
"168",1005,"16B1005","Bombarral",11,0
"169",1104,"16B1104","Cadaval",0,0
"170",1006,"16B1006","Caldas da Rainha",210,0.05
"171",1108,"16B1108","Lourinhã",340,0.06
"172",1011,"16B1011","Nazaré",14,0.01
"173",1012,"16B1012","Óbidos",17,0.01
"174",1014,"16B1014","Peniche",22,0.01
"175",1112,"16B1112","Sobral de Monte Agraço",9,0
"176",1113,"16B1113","Torres Vedras",106,0.01
"177",1401,"16C1401","Abrantes",164,0.01
"178",1402,"16C1402","Alcanena",13,0
"179",1408,"16C1408","Constância",0,0
"180",1410,"16C1410","Entroncamento",373,0.73
"181",1411,"16C1411","Ferreira do Zêzere",113,0.05
"182",1421,"16C1421","Ourém",0,0
"183",1417,"16C1417","Sardoal",0,0
"184",1418,"16C1418","Tomar",211,0.03
"185",1419,"16C1419","Torres Novas",0,0
"186",1420,"16C1420","Vila Nova da Barquinha",0,0
"187",1115,"1711115","Amadora",0,0
"188",1105,"1711105","Cascais",0,0
"189",1106,"1711106","Lisboa",0,0
"190",1107,"1711107","Loures",186,0.04
"191",1109,"1711109","Mafra",2789,0.3
"192",1116,"1711116","Odivelas",1,0
"193",1110,"1711110","Oeiras",0,0
"194",1111,"1711111","Sintra",16,0
"195",1114,"1711114","Vila Franca de Xira",306,0.02
"196",1502,"1721502","Alcochete",2,0
"197",1503,"1721503","Almada",46,0.11
"198",1504,"1721504","Barreiro",3,0.02
"199",1506,"1721506","Moita",13,0.01
"200",1507,"1721507","Montijo",31,0
"201",1508,"1721508","Palmela",35,0
"202",1510,"1721510","Seixal",15,0.02
"203",1511,"1721511","Sesimbra",123,0.07
"204",1512,"1721512","Setúbal",109,0.04
"205",1501,"1811501","Alcácer do Sal",283,0
"206",1505,"1811505","Grândola",138,0
"207",211,"1810211","Odemira",0,0
"208",1509,"1811509","Santiago do Cacém",817,0.01
"209",1513,"1811513","Sines",146,0.02
"210",1201,"1821201","Alter do Chão",17,0
"211",1202,"1821202","Arronches",71,0
"212",1203,"1821203","Avis",1250,0.03
"213",1204,"1821204","Campo Maior",21,0
"214",1205,"1821205","Castelo de Vide",5,0
"215",1206,"1821206","Crato",0,0
"216",1207,"1821207","Elvas",250,0
"217",1208,"1821208","Fronteira",557,0.03
"218",1209,"1821209","Gavião",336,0.02
"219",1210,"1821210","Marvão",117,0.01
"220",1211,"1821211","Monforte",285,0.01
"221",707,"1820707","Mora",399,0.01
"222",1212,"1821212","Nisa",207,0.01
"223",1213,"1821213","Ponte de Sor",456,0.01
"224",1214,"1821214","Portalegre",53,0
"225",701,"1830701","Alandroal",0,0
"226",702,"1830702","Arraiolos",1018,0.02
"227",703,"1830703","Borba",34,0
"228",704,"1830704","Estremoz",688,0.02
"229",705,"1830705","Évora",1429,0.01
"230",706,"1830706","Montemor-o-Novo",0,0
"231",708,"1830708","Mourão",2,0
"232",709,"1830709","Portel",139,0
"233",710,"1830710","Redondo",0,0
"234",711,"1830711","Reguengos de Monsaraz",328,0.01
"235",1215,"1831215","Sousel",37,0
"236",712,"1830712","Vendas Novas",0,0
"237",713,"1830713","Viana do Alentejo",329,0.01
"238",714,"1830714","Vila Viçosa",4,0
"239",201,"1840201","Aljustrel",296,0.01
"240",202,"1840202","Almodôvar",6,0
"241",203,"1840203","Alvito",25,0
"242",204,"1840204","Barrancos",5,0
"243",205,"1840205","Beja",116,0
"244",206,"1840206","Castro Verde",54,0
"245",207,"1840207","Cuba",957,0.07
"246",208,"1840208","Ferreira do Alentejo",874,0.02
"247",209,"1840209","Mértola",2,0
"248",210,"1840210","Moura",48,0
"249",212,"1840212","Ourique",361,0.01
"250",213,"1840213","Serpa",639,0.01
"251",214,"1840214","Vidigueira",20,0
"252",1403,"1851403","Almeirim",159,0.02
"253",1404,"1851404","Alpiarça",242,0.05
"254",1103,"1851103","Azambuja",0,0
"255",1405,"1851405","Benavente",60,0
"256",1406,"1851406","Cartaxo",206,0.03
"257",1407,"1851407","Chamusca",2441,0.08
"258",1409,"1851409","Coruche",36236,0.65
"259",1412,"1851412","Golegã",4213,0.72
"260",1414,"1851414","Rio Maior",161,0.02
"261",1415,"1851415","Salvaterra de Magos",2734,0.33
"262",1416,"1851416","Santarém",3041,0.13
"263",801,"1500801","Albufeira",3,0
"264",802,"1500802","Alcoutim",0,0
"265",803,"1500803","Aljezur",0,0
"266",804,"1500804","Castro Marim",7076,0.99
"267",805,"1500805","Faro",0,0
"268",806,"1500806","Lagoa",9,0.01
"269",807,"1500807","Lagos",261,0.11
"270",808,"1500808","Loulé",72,0.01
"271",809,"1500809","Monchique",0,0
"272",810,"1500810","Olhão",0,0
"273",811,"1500811","Portimão",18,0.01
"274",812,"1500812","São Brás de Alportel",0,0
"275",813,"1500813","Silves",0,0
"276",814,"1500814","Tavira",39,0
"277",815,"1500815","Vila do Bispo",0,0
"278",816,"1500816","Vila Real de Santo António",9,0.01
