"","GW_ID","drainage_L"
"1",1,33602538805.145
"2",2,4010554010.437
"3",3,163815716264.763
"4",4,765108322.571
"5",5,13801300520.5
"6",6,14920429302.032
"7",7,36040718083.153
"8",8,2778198472.153
"9",9,4197020288.208
"10",10,7767425.568
"11",11,5786812736.938
"12",12,95241928688.232
"13",13,96300830537.628
"14",14,2583743821.274
"15",15,3726525073.486
"16",16,2549336071.411
"17",17,13952538734.131
"18",18,9383330632.721
"19",19,2236870380.371
"20",20,21842281069.031
"21",21,26877653699.402
"22",22,10883176873.657
"23",23,43868083610.016
"24",24,11723796828.522
"25",25,6539278281.494
"26",26,5263916957.642
"27",27,35568314091.187
"28",28,479032092.224
"29",29,77606409186.157
"30",30,1337869998.581
"31",31,112683344.727
"32",32,29919673827.759
"33",33,27414094763.641
"34",34,89763633953.156
"35",35,20151071136.108
"36",36,245634377.686
"37",37,2394529574.707
"38",38,23005148278.198
"39",39,88772385538.834
"40",40,142388527003.174
"41",41,42941013364.655
"42",42,56715557967.346
"43",43,65865872602.844
"44",44,123401576163.3
"45",45,604720846682.922
"46",46,197787649765.198
"47",47,1684764307.19
"48",48,7661981676.514
"49",49,152644144.531
"50",50,367272984.131
"51",51,1958661632.263
"52",52,5774546272.797
"53",53,54485379914.368
"54",54,79176245479.37
"55",55,27696333837.646
"56",56,732809634.949
"57",57,1199024020.477
"58",58,2350033343.887
"59",59,33801883241.089
"60",60,2931538091.095
"61",61,8913724646.629
"62",62,1327340233.826
"63",63,4852156365.662
"64",64,8678863351.379
"65",65,38880727546.57
"66",66,25243754943.604
"67",67,4768701031.494
"68",68,3113718487.122
"69",69,555197235.291
"70",70,6884980732.391
"71",71,783814529.419
"72",72,1499689761.23
"73",73,857642613.77
"74",74,7430796756.042
"75",75,5677594994.263
"76",76,2892370640.747
"77",77,2339580086.365
"78",78,753836658.142
"79",79,41085895.187
"80",80,1688409711.182
"81",81,162009851.807
"82",82,3068206912.354
"83",83,2023511348.511
"84",84,4356265281.128
"85",85,376638374097.534
"86",86,725166420.166
"87",87,324274112.915
"88",88,3107073123.413
"89",89,6805929851.746
"90",90,14770871303.345
"91",91,13256612646.912
"92",92,1379597682.739
"93",93,27533741917.328
