"","GW_ID","drainage_L"
"1",1,19479970985.87
"2",2,2768591907.333
"3",3,99893930957.262
"4",4,656798972.45
"5",5,6438695496.181
"6",6,13638402367.279
"7",7,22933309676.71
"8",8,1737691437.157
"9",9,1963961577.423
"10",10,2765299.5
"11",11,1885527142.975
"12",12,59479117976.685
"13",13,51296825392.09
"14",14,1683122469.654
"15",15,1394037247.421
"16",16,1212868609.943
"17",17,13110669774.841
"18",18,7894257290.955
"19",19,971475099.487
"20",20,15039687783.615
"21",21,20079014008.209
"22",22,8947542737.61
"23",23,39447091915.344
"24",24,7339208444.824
"25",25,5511683857.117
"26",26,4443079509.521
"27",27,27303913717.926
"28",28,213619734.924
"29",29,44400144636.475
"30",30,815430461.517
"31",31,68744489.38
"32",32,15962948460.388
"33",33,14780015121.021
"34",34,52878488680.565
"35",35,11627158071.167
"36",36,85523725.861
"37",37,1792472214.539
"38",38,13958564092.651
"39",39,54042714478.989
"40",40,85174426650.192
"41",41,19952322867.111
"42",42,38709941193.359
"43",43,31372701542.313
"44",44,78197147119.461
"45",45,347693998568.314
"46",46,138500871496.277
"47",47,882287400.391
"48",48,2846042332.52
"49",49,59825294.037
"50",50,279035978.195
"51",51,909229855.362
"52",52,3671463284.485
"53",53,26104284156.349
"54",54,30037477264.504
"55",55,20761595461.121
"56",56,616343285.675
"57",57,668800229.012
"58",58,2266504501.945
"59",59,18720465910.858
"60",60,2054966254.181
"61",61,5039505832.268
"62",62,1678559988.647
"63",63,1963555744.507
"64",64,6308782236.496
"65",65,19697459264.557
"66",66,7151612442.81
"67",67,1411502867.737
"68",68,1531822514.832
"69",69,384584998.566
"70",70,2463403345.291
"71",71,238119149.323
"72",72,949709076.477
"73",73,492260151.535
"74",74,4459748559.54
"75",75,3246341113.037
"76",76,1237782191.223
"77",77,2439652939.697
"78",78,422703483.978
"79",79,30566183.197
"80",80,672545800.781
"81",81,81012399.353
"82",82,2731644064.819
"83",83,841363900.314
"84",84,1804010286.804
"85",85,226876054966.225
"86",86,331902479.736
"87",87,79761514.053
"88",88,2239696758.057
"89",89,2768581523.346
"90",90,8191636381.653
"91",91,8077853233.78
"92",92,609513075.47
"93",93,12282963861.733
