"Muni_ID","ID","Muni","forage_maize","forage_mixture","forage_oat","forage_roots","forage_sorghum","intensive_pasture","barley","maize","oat","rice","rye","triticale","wheat","lemon","orange","other_citrus","tangerine","almonds","chestnut","locust","nuuts","other_dried_nuts","apple","cherry","other_fresh_fruits","peach","pear","olive_grove","potato","bean","chickpea","other_pulses","vineyard","total"
1304,"1141304","Gondomar",162.46,324.28,236.9,152.75,155.99,19.42,3.24,74.44,6.47,0,16.18,0,0,0,0,0,0,0,38.84,0,19.42,0,0,3.24,0,3.24,3.24,22.65,19.42,0,0,3.24,459.56,1724.98
1306,"1141306","Maia",384.82,910.1,348.66,344.86,344.86,28.55,0,19.03,0,0,0,0,0,0,3.81,0,0,0,1.9,0,1.9,0,1.9,0,1.9,0,1.9,0,5.71,1.9,0,0,91.35,2493.15
1308,"1141308","Matosinhos",300.98,614.21,243.38,236.18,236.18,30.6,0,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,1.8,0,0,1.8,16.2,0,0,0,9,1708.33
1312,"1141312","Porto",4.46,10.02,7.24,7.24,7.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,0,0,2.78,5.57,2.78,0,0,0,2.78,52.89
1313,"1141313","Póvoa de Varzim",1508.29,1243.04,907.47,907.47,907.47,6.03,0,68.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0,0,0,0,0,26.12,6.03,0,0,72.34,5654.59
1315,"1141315","Valongo",118.23,166.29,127.84,118.23,118.23,0,0,2.4,2.4,0,0,0,0,0,2.4,0,0,0,2.4,0,2.4,0,0,0,0,0,0,4.81,7.21,0,0,0,228.28,901.12
1316,"1141316","Vila do Conde",2328.63,3500.44,1349.73,1346.54,1387.99,7.97,0,65.37,0,0,0,0,0,1.59,3.19,0,0,0,0,0,0,0,1.59,0,3.19,1.59,1.59,0,35.07,1.59,0,0,66.96,10103.03
1317,"1141317","Vila Nova de Gaia",164.03,243.81,234.24,138.5,138.5,12.76,0,31.91,6.38,0,0,0,0,3.19,6.38,0,0,3.19,19.15,0,3.19,0,15.96,6.38,3.19,3.19,6.38,41.49,6.38,0,0,12.76,207.43,1308.39
1301,"1151301","Amarante",332.97,255.25,499.66,160.15,160.15,53.18,0,201.46,4.09,0,10.23,0,0,0,5.11,0,2.05,0,41.93,0,10.23,1.02,4.09,2.05,1.02,2.05,2.05,89.99,6.14,14.32,0,2.05,1435.78,3297.02
1302,"1151302","Baião",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,"1150304","Cabeceiras de Basto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,"1150106","Castelo de Paiva",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,"1150305","Celorico de Basto",109.76,112.37,96.7,92.13,92.45,7.18,0,47.66,0,0,4.24,0,0,0.98,0.65,0,0,0,3.92,0,2.61,0.33,0.33,0.33,0,0.33,0.33,18.28,0.33,4.57,0,0.33,263.13,858.94
1804,"1151804","Cinfães",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1303,"1151303","Felgueiras",137.57,133.43,215.37,130.12,130.12,3.31,0,43.87,0,0,2.48,0,0,0,0,0,0,0,0.83,0,2.48,0,4.14,0.83,1.66,0.83,0.83,0.83,4.14,2.48,0,0.83,792.94,1609.09
1305,"1151305","Lousada",55.76,81.18,142.54,45.24,46.11,0.88,0,3.07,6.14,0,1.31,0,0,0,0.88,0,0.44,0,2.19,0,0.44,0,0.88,0,0.44,0.44,0.44,0.44,4.38,1.31,0,0.44,309.46,704.41
1307,"1151307","Marco de Canaveses",581.57,581.57,667.85,367.48,367.48,57.52,0,188.53,153.38,0,156.58,0,0,3.2,35.15,0,3.2,3.2,28.76,0,3.2,41.54,6.39,0,0,9.59,3.2,57.52,9.59,38.35,0,3.2,2677.8,6045.85
1705,"1151705","Mondim de Basto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1309,"1151309","Paços de Ferreira",754.79,1988.23,693.43,509.33,509.33,184.1,0,196.37,0,0,-6.14,0,0,0,6.14,0,0,0,0,0,0,0,6.14,0,0,0,0,0,42.96,6.14,0,0,398.87,5289.69
1310,"1151310","Paredes",341.39,451.14,630.94,325.04,325.04,30.36,0,25.69,21.02,0,16.35,0,0,0,2.34,0,2.34,0,7.01,0,2.34,0,4.67,4.67,2.34,2.34,0,2.34,18.68,2.34,0,4.67,1218.91,3441.96
1311,"1151311","Penafiel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1813,"1151813","Resende",12.29,22.4,12.29,11.9,11.9,5.44,0,2.33,1.17,0,16.72,0,8.17,0,0,0,0.78,0.39,56,0,7.78,0.39,0.78,90.62,3.5,0.39,1.17,11.67,0.78,0.39,0,0,181.62,460.87
1709,"1151709","Ribeira de Pena",1.19,2.81,1.69,0.8,0.8,0.09,0,0.74,0.01,0,0.17,0,0,0,0,0,0,0,0.24,0,0.03,0.02,0,0.03,0,0,0,0.32,0,0.01,0,0,1.59,10.54
104,"1160104","Arouca",872.53,1765.75,1243.93,755.01,778.51,136.33,0,131.63,37.61,0,122.23,0,4.7,0,0,0,0,0,84.62,0,9.4,0,18.8,4.7,0,0,4.7,230.36,4.7,9.4,0,0,606.45,6821.36
113,"1160113","Oliveira de Azeméis",566.28,851.77,401.85,320.54,324.16,5.42,0,50.59,3.61,0,0,0,0,1.81,1.81,0,1.81,0,1.81,0,0,0,0,0,1.81,1.81,0,0,1.81,1.81,0,1.81,59.63,2600.14
109,"1160109","Santa Maria da Feira",516,544.29,465.49,182.64,184.66,4.04,0,149.51,68.69,0,2.02,0,0,4.04,0,0,0,0,4.04,0,2.02,0,2.02,0,0,0,0,0,56.57,6.06,0,4.04,28.29,2224.42
116,"1160116","São João da Madeira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,"1160119","Vale de Cambra",575.69,580.79,509.46,331.15,331.15,15.28,0,152.84,0,0,5.09,0,0,0,0,0,0,0,10.19,0,0,0,5.09,0,0,0,0,0,0,15.28,0,0,718.34,3250.35
1701,"1171701","Alijó",2.9,0.79,1.27,0.79,1.46,0,0.1,1.25,0.29,0,2.21,0,0.1,0,0.67,0,0,14.13,10.19,0,1.25,0,1.54,0.38,0.1,0.1,0.29,100.65,0.48,0.1,0,0,577.73,718.77
