"Muni_ID","ID","Muni","bean","chickpea","other_pulses","extensive_pasture","intensive_pasture","total"
1601,"1111601","Arcos de Valdevez",107.7,0,0,41080.5,915.4,42103.6
1602,"1111602","Caminha",64.5,0,57,7446.6,156.4,7724.5
1603,"1111603","Melgaço",21.57,0,0,39498.3,335.8,39855.67
1604,"1111604","Monção",64.59,0,114,11124,1715.8,13018.39
1605,"1111605","Paredes de Coura",43.1,0,0,5386.5,552,5981.6
1606,"1111606","Ponte da Barca",0,0,57,6866.1,538.2,7461.3
1607,"1111607","Ponte de Lima",581.58,0,1086.04,8772.3,722.2,11162.12
1608,"1111608","Valença",0,0,57,4055.4,147.2,4259.6
1609,"1111609","Viana do Castelo",388.26,0,286,10629.9,657.8,11961.96
1610,"1111610","Vila Nova de Cerveira",86,0,0,2249.1,280.6,2615.7
301,"1120301","Amares",43,0,343.02,210.6,335.8,932.42
302,"1120302","Barcelos",107.65,0,399.98,199.8,294.4,1001.83
303,"1120303","Braga",0,0,114,224.1,69,407.1
306,"1120306","Esposende",129.42,0,0,29.7,78.2,237.32
310,"1120310","Terras de Bouro",43.06,0,57,15190.2,602.6,15892.86
313,"1120313","Vila Verde",150.71,0,571,2157.3,1228.2,4107.21
307,"1130307","Fafe",172.32,0,0,504.9,427.8,1105.02
308,"1130308","Guimarães",86.24,0,114,594,105.8,900.04
309,"1130309","Póvoa de Lanhoso",64.59,0,57,596.7,253,971.29
1314,"1131314","Santo Tirso",0,0,0,145.8,289.8,435.6
1318,"1131318","Trofa",0,0,0,18.9,50.6,69.5
311,"1130311","Vieira do Minho",64.59,0,0,9819.9,78.2,9962.69
312,"1130312","Vila Nova de Famalicão",43.34,0,628.98,156.6,147.2,976.12
314,"1130314","Vizela",0,0,57,29.7,0,86.7
107,"1140107","Espinho",21.5,0,0,2.7,0,24.2
1304,"1141304","Gondomar",0,0,57,121.5,27.6,206.1
1306,"1141306","Maia",21,0,0,27,69,117
1308,"1141308","Matosinhos",0,0,0,21.6,78.2,99.8
1312,"1141312","Porto",0,0,0,13.5,0,13.5
1313,"1141313","Póvoa de Varzim",64.5,0,0,99.9,13.8,178.2
1315,"1141315","Valongo",0,0,0,43.2,0,43.2
1316,"1141316","Vila do Conde",21,0,0,51.3,23,95.3
1317,"1141317","Vila Nova de Gaia",0,0,229,159.3,18.4,406.7
1301,"1151301","Amarante",301.56,0,114,11456.1,239.2,12110.86
1302,"1151302","Baião",215.4,0,0,4687.2,133.4,5036
304,"1150304","Cabeceiras de Basto",43.06,0,57,6172.2,170.2,6442.46
106,"1150106","Castelo de Paiva",64.65,0,114,126.9,59.8,365.35
305,"1150305","Celorico de Basto",301.42,0,57,267.3,101.2,726.92
1804,"1151804","Cinfães",64.56,0,0,5686.2,23,5773.76
1303,"1151303","Felgueiras",64.65,0,57,99.9,18.4,239.95
1305,"1151305","Lousada",64.65,0,57,118.8,9.2,249.65
1307,"1151307","Marco de Canaveses",258.48,0,57,1136.7,82.8,1534.98
1705,"1151705","Mondim de Basto",215.4,0,0,10557,36.8,10809.2
1309,"1151309","Paços de Ferreira",21.55,0,0,86.4,138,245.95
1310,"1151310","Paredes",21.5,0,114,140.4,59.8,335.7
1311,"1151311","Penafiel",21.57,0,57,399.6,0,478.17
1813,"1151813","Resende",21.56,0,0,2114.1,64.4,2200.06
1709,"1151709","Ribeira de Pena",21.54,0,0,14053.5,36.8,14111.84
104,"1160104","Arouca",43,0,0,6536.7,133.4,6713.1
113,"1160113","Oliveira de Azeméis",21.5,0,57,97.2,13.8,189.5
109,"1160109","Santa Maria da Feira",64.65,0,114,56.7,9.2,244.55
116,"1160116","São João da Madeira",0,0,0,0,0,0
119,"1160119","Vale de Cambra",64.71,0,0,2583.9,13.8,2662.41
1701,"1171701","Alijó",33.67,0,0,1973.7,0,2007.37
1801,"1171801","Armamar",0,0,0,102.6,9.2,111.8
403,"1170403","Carrazeda de Ansiães",101.25,0,90,1536.3,13.8,1741.35
404,"1170404","Freixo de Espada à Cinta",34,0,0,3534.3,0,3568.3
1805,"1171805","Lamego",0,0,0,2772.9,32.2,2805.1
1704,"1171704","Mesão Frio",0,0,0,8.1,0,8.1
1807,"1171807","Moimenta da Beira",0,0,90,1722.6,13.8,1826.4
1812,"1171812","Penedono",34,0,0,1803.6,0,1837.6
1708,"1171708","Peso da Régua",0,0,0,78.3,0,78.3
1710,"1171710","Sabrosa",0,0,90,3334.5,0,3424.5
1711,"1171711","Santa Marta de Penaguião",0,0,0,1242,0,1242
1815,"1171815","São João da Pesqueira",0,0,0,1854.9,0,1854.9
1818,"1171818","Sernancelhe",100.86,237.75,0,4052.7,9.2,4400.51
1819,"1171819","Tabuaço",0,0,0,359.1,4.6,363.7
1820,"1171820","Tarouca",0,0,0,396.9,18.4,415.3
409,"1170409","Torre de Moncorvo",202.02,0,90,6966,110.4,7368.42
410,"1170410","Vila Flor",34,0,0,2581.2,18.4,2633.6
914,"1170914","Vila Nova de Foz Côa",0,0,181,2689.2,41.4,2911.6
1714,"1171714","Vila Real",33.66,0,270,14158.8,179.4,14641.86
401,"1180401","Alfândega da Fé",0,0,181,3531.6,657.8,4370.4
1702,"1181702","Boticas",0,0,0,23495.4,0,23495.4
402,"1180402","Bragança",33.75,237.99,541.98,21392.1,220.8,22426.62
1703,"1181703","Chaves",302.85,79,270.75,9679.5,239.2,10571.3
405,"1180405","Macedo de Cavaleiros",236.25,396,632.03,8880.3,943,11087.58
406,"1180406","Miranda do Douro",0,317,3790.92,18327.6,170.2,22605.72
407,"1180407","Mirandela",202.5,158.5,1173.51,4568.4,161,6263.91
408,"1180408","Mogadouro",270,1505.94,7402.14,13510.8,151.8,22840.68
1706,"1181706","Montalegre",67.5,0,0,117960.3,96.6,118124.4
1707,"1181707","Murça",202.14,0,0,1420.2,4.6,1626.94
1712,"1181712","Valpaços",269.2,80,270,5950.8,9.2,6579.2
1713,"1181713","Vila Pouca de Aguiar",67.38,0,0,18063,326.6,18456.98
411,"1180411","Vimioso",101.25,396.45,1716.08,10084.5,9.2,12307.48
412,"1180412","Vinhais",0,0,181,7219.8,331.2,7732
101,"1610101","Águeda",152.2,0,243.99,251.1,9.2,656.49
102,"1610102","Albergaria-a-Velha",213.5,0,162,615.6,18.4,1009.5
103,"1610103","Anadia",0,0,975,243,9.2,1227.2
105,"1610105","Aveiro",335.17,0,326,602.1,151.8,1415.07
108,"1610108","Estarreja",60.66,0,326,1231.2,115,1732.86
